,subject_id,task,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,URL_front,URL_back,column_name,min,max,text,review,
24,63264941,T13,"[['55.7', '55.7', '55.7', '55.7%'], ['to', 'to', 'to', 'to'], ['20', '20', '20', '20'], ['ft.', 'feet', 'ft.', 'feet']]",4,3.25,55.7 to 20 ft.,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Montmorency_Crooked_SUMM_001_A.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Montmorency_Crooked_SUMM_001_B.jpg,Percent shoal,55.7,,pct,Yes,
25,63264970,T13,"[['45.7', '45.7', '45.7', '45.7%']]",4,3,45.7,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAW_CLEART23NR1ES2_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAW_CLEART23NR1ES2_SUMM_0001_2.jpeg,Percent shoal,45.7,,pct,Yes,
26,63264975,T13,"[['76.1', '76.1', '76.1%', '76.1']]",4,3,76.1,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAW_HORSESHOE_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAW_HORSESHOE_SUMM_0001_2.jpeg,Percent shoal,76.1,,pct,Yes,
27,63264978,T13,"[['64.3', '64.3', '64.3%', '64.3']]",4,3,64.3,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAW_JOHNSON_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAW_JOHNSON_SUMM_0001_2.jpeg,Percent shoal,64.3,,pct,Yes,
28,63264981,T13,"[['23.3%', '23.3%', '23.3%', '23.3%']]",4,4,23.30%,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAW_LAKEGEORGE_SUMM_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAW_LAKEGEORGE_SUMM_0002_2.jpeg,Percent shoal,23.3,,pct,Yes,
29,63264984,T13,"[['39.9%', '39.9%', '39.9%', '39.9%']]",4,4,39.90%,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAW_LAKEGEORGE_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAW_LAKEGEORGE_SUMM_0001_2.jpeg,Percent shoal,39.9,,pct,Yes,
30,63265004,T13,"[['5', '5', '5', ''], ['to', 'to', 'to', ''], ['10%', '10%', '10%', '5-10%']]",4,3,5 to 10%,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OSCEOLA_CENTER_SUMM_0001_1.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OSCEOLA_CENTER_SUMM_0001_2.jpg,Percent shoal,5,10,pct,Yes,
31,63265040,T13,"[['100', '100', '100', '100%'], ['J.L.F.', 'J.L.F.', 'J.L.F.', '(J.L.F.)']]",4,3,100 j.l.f.,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Washtenaw_Geddes_SUMM_20200224114400057_0011.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Washtenaw_Geddes_SUMM_20200224114400057_0012.jpg,Percent shoal,100,,pct,Yes,
32,63265050,T13,"[['10', '10', '10', '10'], ['to', 'to', 'to', 'to'], ['15%', '15', '15', '15']]",4,3.666666667,10 to 15,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/b_first/Otsego_Chub_SUMM_6.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/b_first/Otsego_Chub_SUMM_5.jpeg,Percent shoal,10,15,pct,Yes,
33,63265065,T13,"[['', ""(20')"", ""(20')"", ""(20')""], ['41.2%', '41.2%', '41.2%', '41.2%']]",4,3.5,(20') 41.2%,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ALCONA_CRYSTAL_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ALCONA_CRYSTAL_SUMM_0001_2.jpeg,Percent shoal,41.2,,pct,Yes,
