subject_id,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,URL_front,URL_back,column_name,min,max,units,
63265607,"[['95%', '95', '95%', '95']]",4,2,95%,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Marquette_Helen_SUMM_007.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Marquette_Helen_SUMM_008.jpg,Percent shoal,95,,pct,
63265632,[['-']],1,1,-,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Marquette_Perch45N_25W_S34_SUMM_005.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Marquette_Perch45N_25W_S34_SUMM_006.jpg,Percent shoal,NA,,pct,
63265708,"[['no'], ['dropoff']]",1,1,no dropoff,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Missaukee_Crooked21N_6W_S11_SUMM_004.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Missaukee_Crooked21N_6W_S11_SUMM_005.jpg,Percent shoal,NA,,pct,
63265715,"[['CONSIDERABLE', 'considerable', 'considerable']]",3,2,considerable,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Missaukee_Loon_SUMM_007.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Missaukee_Loon_SUMM_008.jpg,Percent shoal,NA,,pct,
63265723,"[['95%', '95', '95', '95%']]",4,2,95%,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/MONTMORENCY_GENEVA_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/MONTMORENCY_GENEVA_SUMM_0001_2.jpeg,Percent shoal,95,,pct,
63265727,[['...']],1,1,...,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/MONTMORENCY_LOCKWOOD_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/MONTMORENCY_LOCKWOOD_SUMM_0001_2.jpeg,Percent shoal,NA,,pct,
63265769,"[['20%', '20%±', '20%', '20%+-'], ['+', '', '', ''], ['-', '', '', ''], ['(estimate)', '(estimate)', '(estimate)', '(estimate)']]",4,2,20% + - (estimate),https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/NEWAYGO_HARDY_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/NEWAYGO_HARDY_SUMM_0001_2.jpeg,Percent shoal,20,,pct,
63265798,"[['('], ['less'], ['than'], ['15'], ['ft.'], [')']]",1,1,( less than 15 ft. ),https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/OAKLAND_GRAVELPIT_SUMM_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/OAKLAND_GRAVELPIT_SUMM_0002_2.jpeg,Percent shoal,NA,,pct,
63265824,"[['About', 'About', 'about', 'About'], ['75', '75%', '75', '75%'], ['feet', '', '', '']]",4,2,about 75 feet,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/OAKLAND_WHITE_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/OAKLAND_WHITE_SUMM_0001_2.jpeg,Percent shoal,75,,pct,
63265829,[['-']],1,1,-,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/OSCODA_SECOND_SUMM_0001_1.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/OSCODA_SECOND_SUMM_0001_2.jpg,Percent shoal,NA,,pct,
