subject_id,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,min,max,units,notes,URL_front,URL_back,column_name
63264991,"[['8', '8-15', '8-15', '8-16'], ['-', '', '', ''], ['15', '', '', '']]",4,1.333333333,8/15/15,8,15,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/ONTONAGON_DEADMAN_SUMM_0001_1.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/ONTONAGON_DEADMAN_SUMM_0001_2.jpg,Methyl Orange Alk Range
63264995,"[['5', '', '', ''], ['-', '', '', ''], ['11', '5-11', '5-11', '5-11'], ['ppm', 'p.p.m.', 'p.p.m.', 'ppm']]",4,1.75,5 - 5-11 ppm,5,11,ppm,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/ONTONAGON_MOLLS_SUMM_0001_1.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/ONTONAGON_MOLLS_SUMM_0001_2.jpg,Methyl Orange Alk Range
63265016,"[['27.36', '27.36-34.2', '27.36-34.2', '27.36-34.2ppm'], ['-', '', '', ''], ['34.2', '', '', ''], ['ppa', 'ppm', 'ppm', '']]",4,1.5,27.36-34.2 - 34.2 ppm,27.36,34.2,ppm,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OSCEOLA_WELLS_SUMM_0001_1.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OSCEOLA_WELLS_SUMM_0001_2.jpg,Methyl Orange Alk Range
63265020,"[['198.0-203.0', '198.0-203.0', '198.0', '198.0-203.0'], ['', '', '-', ''], ['', '', '203.0', ''], ['ppm.', 'ppm', 'ppm', 'ppm.']]",4,1.75,198.0-203.0 - 203.0 ppm.,198,203,ppm,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Washtenaw_Argo_SUMM_20200203130132622_0005.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Washtenaw_Argo_SUMM_20200203130132622_0006.jpg,Methyl Orange Alk Range
63265027,"[['105-160', '105-160', '105', '105-160'], ['', '', '-', ''], ['', '', '160', '']]",4,1.666666667,105-160 - 160,105,160,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Washtenaw_Bruin_SUMM_Washtenaw_Bruin_SUMM_20200218104508573_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Washtenaw_Bruin_SUMM_Washtenaw_Bruin_SUMM_20200218104508573_0002.jpg,Methyl Orange Alk Range
63265038,"[['111.0', '111.0', ''], ['', '-', ''], ['-115.0', '115.0', '111.0-115.0'], ['ppm', 'ppm', 'ppm.']]",3,1.5,111.0 - -115.0 ppm,111,115,ppm,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Washtenaw_FourMile_SUMM_20200218143718807_0007.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Washtenaw_FourMile_SUMM_20200218143718807_0008.jpg,Methyl Orange Alk Range
63265039,"[['180-185', '180-185', '180', '180-185'], ['', '', '-', ''], ['', '', '185', '']]",4,1.666666667,180-185 - 185,180,185,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Washtenaw_HalfMoon_47-51_1942_SUMM_001_01.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Washtenaw_HalfMoon_47-51_1942_SUMM_001_02.jpg,Methyl Orange Alk Range
63265041,"[['162', '162-163', '162-163', '162-163'], ['-', '', '', ''], ['163', '', '', '']]",4,1.666666667,162-163 - 163,162,163,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Washtenaw_Hankard_SUMM_20200224125752535_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Washtenaw_Hankard_SUMM_20200224125752535_0002.jpg,Methyl Orange Alk Range
63265042,"[['Not', '164'], ['worth', ''], ['managing', ''], ['(R.W.', ''], ['Eschmeyer)', '']]",2,1,Not worth managing (R.W. Eschmeyer),0,164,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Washtenaw_Klink_SUMM_20200225130740036_0005.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Washtenaw_Klink_SUMM_20200225130740036_0006.jpg,Methyl Orange Alk Range
63265046,"[['45-97', '45', '45-97', '45-97ppm'], ['', '-', '', ''], ['', '97', '', ''], ['ppm', 'ppm', 'ppm', '']]",4,1.75,45-97 - 97 ppm,45,97,ppm,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/b_first/Otsego_Bear_SUMM_136.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/b_first/Otsego_Bear_SUMM_135.jpeg,Methyl Orange Alk Range
63265048,"[['161-185', '161-185', '161-185', '161'], ['', '', '', '-'], ['', '', '', '185']]",4,1.666666667,161-185 - 185,161,185,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Washtenaw_LongLake_SUMM_20200225132549240_0003.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Washtenaw_LongLake_SUMM_20200225132549240_0004.jpg,Methyl Orange Alk Range
63265054,"[['', '', '', '93'], ['', '', '', '-'], ['93-100', '93-100', '93-100', '100']]",4,1.666666667,93 - 93-100,93,100,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/b_first/Otsego_Douglas_SUMM_4.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/b_first/Otsego_Douglas_SUMM_3.jpeg,Methyl Orange Alk Range
63265065,"[['10-16', '10', '10-16', '10-16'], ['', '-', '', ''], ['', '16', '', '']]",4,1.666666667,10/16/16,10,16,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ALCONA_CRYSTAL_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ALCONA_CRYSTAL_SUMM_0001_2.jpeg,Methyl Orange Alk Range
63265134,"[['140-190', '140', '140-190', '140-190'], ['', '-', '', ''], ['', '190', '', '']]",4,1.666666667,140-190 - 190,140,190,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ALGER_MITCHELL_SUMM_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ALGER_MITCHELL_SUMM_0002_2.jpeg,Methyl Orange Alk Range
