subject_id,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,column_name,min,max,comment,URL_front,URL_back
63264500,"[['none', 'None', '0']]",3,1,none,Hotels and Homes,0,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Loon_SUMM_011.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Loon_SUMM_012.jpg
63264500,"[['none', 'None', '0']]",3,1,none,Boat Resorts ,0,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Loon_SUMM_011.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Loon_SUMM_012.jpg
63264500,"[['none', 'None', '0']]",3,1,none,Liveries,0,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Loon_SUMM_011.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Loon_SUMM_012.jpg
63264505,"[['None', 'none', '0']]",3,1,None,Cottages,0,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Mastadon_SUMM_005.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Mastadon_SUMM_006.jpg
63264505,"[['None', 'none', '0']]",3,1,None,Hotels and Homes,0,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Mastadon_SUMM_005.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Mastadon_SUMM_006.jpg
63264505,"[['None', 'none', '0']]",3,1,None,Boat Resorts ,0,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Mastadon_SUMM_005.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Mastadon_SUMM_006.jpg
63264505,"[['None', 'none', '0']]",3,1,None,Liveries,0,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Mastadon_SUMM_005.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Mastadon_SUMM_006.jpg
63264517,"[['--', '0']]",2,1,--,Hotels and Homes,0,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Orchid_SUMM_002.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Orchid_SUMM_003.jpg
63264517,"[['--', '0']]",2,1,--,Boat Resorts ,0,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Orchid_SUMM_002.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Orchid_SUMM_003.jpg
63264517,"[['--', '0']]",2,1,--,Liveries,0,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Orchid_SUMM_002.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Orchid_SUMM_003.jpg
