subject_id,URL 4,URL 8,workflow_id,task,Full Task Text,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,data.user_ids
82937346,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Alger_Irwin_FISHc_20200219115754521_0009.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Alger_Irwin_FISHc_20200219115754521_0010.jpg,17771,T9,R,"[['19W', '19W', '19W']]",3.0,3.0,19W,"[2515800.0, 1484814.0, 2288992.0]"
82937346,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Alger_Irwin_FISHc_20200219115754521_0009.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Alger_Irwin_FISHc_20200219115754521_0010.jpg,17771,T10,S,"[['12', '12', '12']]",3.0,3.0,12,"[2515800.0, 1484814.0, 2288992.0]"
82937346,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Alger_Irwin_FISHc_20200219115754521_0009.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Alger_Irwin_FISHc_20200219115754521_0010.jpg,17771,T12,Name(s),"[['USFS', 'USFS', 'USFS'], ['Munising', 'Munising', 'munising']]",3.0,2.5,USFS Munising,"[2515800.0, 1484814.0, 2288992.0]"
82937347,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Chippewa_Shelldrake_FISHc_018.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Chippewa_Shelldrake_FISHc_019.jpg,17771,T8,T,"[['50N', '50N', '50N']]",3.0,3.0,50N,"[2271829.0, 2288992.0, 1484814.0]"
82937347,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Chippewa_Shelldrake_FISHc_018.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Chippewa_Shelldrake_FISHc_019.jpg,17771,T9,R,"[['6W', '6W', '6W']]",3.0,3.0,6W,"[2271829.0, 2288992.0, 1484814.0]"
82937347,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Chippewa_Shelldrake_FISHc_018.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Chippewa_Shelldrake_FISHc_019.jpg,17771,T10,S,"[['20,', '20,', '20,'], ['21', '21', '21']]",3.0,3.0,"20, 21","[2271829.0, 2288992.0, 1484814.0]"
82937347,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Chippewa_Shelldrake_FISHc_018.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Chippewa_Shelldrake_FISHc_019.jpg,17771,T12,Name(s),"[['W.', 'W.', 'W.'], ['Gruhn,', 'Gruhn,', 'Gruhn,'], ['C.', 'C.', 'C.'], ['Bailey', 'Bailey', 'Bailey']]",3.0,3.0,"W. Gruhn, C. Bailey","[2271829.0, 2288992.0, 1484814.0]"
82937348,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Houghton_Roland_FISHc_046.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Houghton_Roland_FISHc_047.jpg,17771,T8,T,"[['52N', '52N', '52N']]",3.0,3.0,52N,"[1484814.0, 2271829.0, 2288992.0]"
82937348,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Houghton_Roland_FISHc_046.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Houghton_Roland_FISHc_047.jpg,17771,T9,R,"[['36W', '36W', '36W']]",3.0,3.0,36W,"[1484814.0, 2271829.0, 2288992.0]"
82937348,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Houghton_Roland_FISHc_046.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Houghton_Roland_FISHc_047.jpg,17771,T10,S,"[['14,', '14,', '14,15,22,23,27'], ['15,', '15,', ''], ['22,', '', ''], ['23,', '23,', ''], ['', '24,', ''], ['27', '27', '']]",3.0,1.6666666666666667,"14, 15, 22, 23, 24, 27","[1484814.0, 2271829.0, 2288992.0]"
82937348,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Houghton_Roland_FISHc_046.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Houghton_Roland_FISHc_047.jpg,17771,T12,Name(s),"[['J.', 'J.', 'J.'], ['N.', 'N.', 'N.'], ['Lowe', 'Love', 'Lowe']]",3.0,2.6666666666666665,J. N. Lowe,"[1484814.0, 2271829.0, 2288992.0]"
82937349,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Livingston_Crooked(EastWest)_FISHc_020.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Livingston_Crooked(EastWest)_FISHc_021.jpg,17771,T8,T,"[['2N', '2N', '2N']]",3.0,3.0,2N,"[1484814.0, 2288992.0, 2271829.0]"
82937349,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Livingston_Crooked(EastWest)_FISHc_020.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Livingston_Crooked(EastWest)_FISHc_021.jpg,17771,T9,R,"[['5E', '5E', '5E']]",3.0,3.0,5E,"[1484814.0, 2288992.0, 2271829.0]"
82937349,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Livingston_Crooked(EastWest)_FISHc_020.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Livingston_Crooked(EastWest)_FISHc_021.jpg,17771,T10,S,"[['22', '22', '22']]",3.0,3.0,22,"[1484814.0, 2288992.0, 2271829.0]"
82937349,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Livingston_Crooked(EastWest)_FISHc_020.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Livingston_Crooked(EastWest)_FISHc_021.jpg,17771,T12,Name(s),"[['Deephouse,', 'Deephouse,', 'Deephouse,'], ['Miller,', 'Willer,', 'Miller'], ['Downing,', 'Downing,', 'Downing,'], ['Simpson,', 'Simpson,', 'Simpson'], ['', '', 'and'], ['Brown', 'Brown', 'Brown']]",3.0,2.1666666666666665,"Deephouse, Miller, Downing, Simpson, Brown","[1484814.0, 2288992.0, 2271829.0]"
82937350,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Marquette_ChainOfLakes_FISHc_20191127131459586_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Marquette_ChainOfLakes_FISHc_20191127131459586_0002.jpg,17771,T6,Other Dates,"[['11:00'], ['-'], ['12:00'], ['p.m.']]",1.0,1.0,11:00 - 12:00 p.m.,[2548588.0]
82937350,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Marquette_ChainOfLakes_FISHc_20191127131459586_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Marquette_ChainOfLakes_FISHc_20191127131459586_0002.jpg,17771,T8,T,"[['1N', '1N', '1N']]",3.0,3.0,1N,"[2548588.0, 2271829.0, 2288992.0]"
82937350,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Marquette_ChainOfLakes_FISHc_20191127131459586_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Marquette_ChainOfLakes_FISHc_20191127131459586_0002.jpg,17771,T9,R,"[['5E', '5E', '5E']]",3.0,3.0,5E,"[2548588.0, 2271829.0, 2288992.0]"
82937350,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Marquette_ChainOfLakes_FISHc_20191127131459586_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Marquette_ChainOfLakes_FISHc_20191127131459586_0002.jpg,17771,T10,S,"[['32', '32', '32']]",3.0,3.0,32,"[2548588.0, 2271829.0, 2288992.0]"
82937350,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Marquette_ChainOfLakes_FISHc_20191127131459586_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Marquette_ChainOfLakes_FISHc_20191127131459586_0002.jpg,17771,T12,Name(s),"[['C:'], ['District,'], ['Region']]",1.0,1.0,"C: District, Region",[2548588.0]
82937351,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Marquette_LittleWhiteGoat_FISHc_20191202102857672_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Marquette_LittleWhiteGoat_FISHc_20191202102857672_0002.jpg,17771,T8,T,"[['49N', '49N', '49N']]",3.0,3.0,49N,"[2288992.0, 2271829.0, 1484814.0]"
82937351,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Marquette_LittleWhiteGoat_FISHc_20191202102857672_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Marquette_LittleWhiteGoat_FISHc_20191202102857672_0002.jpg,17771,T9,R,"[['30W', '30W', '30W']]",3.0,3.0,30W,"[2288992.0, 2271829.0, 1484814.0]"
82937351,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Marquette_LittleWhiteGoat_FISHc_20191202102857672_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Marquette_LittleWhiteGoat_FISHc_20191202102857672_0002.jpg,17771,T10,S,"[['32,33', '32-33', '32-33']]",3.0,2.0,"32, 33","[2288992.0, 2271829.0, 1484814.0]"
82937351,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Marquette_LittleWhiteGoat_FISHc_20191202102857672_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Marquette_LittleWhiteGoat_FISHc_20191202102857672_0002.jpg,17771,T12,Name(s),"[['U.O', 'U.P.']]",2.0,1.0,U.O,"[2288992.0, 1484814.0]"
82937352,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Marquette_LittleWhiteGoat_FISHc_20191202102857672_0003.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Marquette_LittleWhiteGoat_FISHc_20191202102857672_0004.jpg,17771,T8,T,"[['49N', '49N', '49N']]",3.0,3.0,49N,"[2288992.0, 1484814.0, 2271829.0]"
82937352,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Marquette_LittleWhiteGoat_FISHc_20191202102857672_0003.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Marquette_LittleWhiteGoat_FISHc_20191202102857672_0004.jpg,17771,T9,R,"[['30W', '30W', '30W']]",3.0,3.0,30W,"[2288992.0, 1484814.0, 2271829.0]"
82937352,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Marquette_LittleWhiteGoat_FISHc_20191202102857672_0003.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Marquette_LittleWhiteGoat_FISHc_20191202102857672_0004.jpg,17771,T10,S,"[['32,33', '32-3', '32,'], ['', '', '33']]",3.0,1.0,"32, 33","[2288992.0, 1484814.0, 2271829.0]"
82937352,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Marquette_LittleWhiteGoat_FISHc_20191202102857672_0003.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Marquette_LittleWhiteGoat_FISHc_20191202102857672_0004.jpg,17771,T12,Name(s),"[['U.P.', 'U.P.', 'U.P.']]",3.0,3.0,U. P.,"[2288992.0, 1484814.0, 2271829.0]"
82937353,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Marquette_LittleWhiteGoat_FISHc_20191202102857672_0005.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Marquette_LittleWhiteGoat_FISHc_20191202102857672_0006.jpg,17771,T8,T,"[['49M', '49N', '49N']]",3.0,2.0,49N,"[2515800.0, 1484814.0, 2288992.0]"
82937353,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Marquette_LittleWhiteGoat_FISHc_20191202102857672_0005.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Marquette_LittleWhiteGoat_FISHc_20191202102857672_0006.jpg,17771,T9,R,"[['30W', '30W', '30W']]",3.0,3.0,30W,"[2515800.0, 1484814.0, 2288992.0]"
82937353,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Marquette_LittleWhiteGoat_FISHc_20191202102857672_0005.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Marquette_LittleWhiteGoat_FISHc_20191202102857672_0006.jpg,17771,T10,S,"[['32,', '32-33', '32,33'], ['33', '', '']]",3.0,1.0,"32, 33","[2515800.0, 1484814.0, 2288992.0]"
82937353,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Marquette_LittleWhiteGoat_FISHc_20191202102857672_0005.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Marquette_LittleWhiteGoat_FISHc_20191202102857672_0006.jpg,17771,T12,Name(s),"[['U.P.', 'U.', 'U.'], ['', 'P.', 'P.']]",3.0,2.0,U. P.,"[2515800.0, 1484814.0, 2288992.0]"
82937354,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Marquette_Wolf_52-1356_1950_FISHc_001_01.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Marquette_Wolf_52-1356_1950_FISHc_001_02.jpg,17771,T8,T,"[['48,', '48,49N', '48,49N'], ['49N', '', '']]",3.0,1.5,"48,49N","[2271829.0, 2288992.0, 1312868.0]"
82937354,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Marquette_Wolf_52-1356_1950_FISHc_001_01.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Marquette_Wolf_52-1356_1950_FISHc_001_02.jpg,17771,T9,R,"[['29W', '29W', '29W']]",3.0,3.0,29W,"[2271829.0, 2288992.0, 1312868.0]"
