subject_id,data.aligned_text,data.consensus_text,column_name,data,units,URL_front,URL_back
58642798,"[['7.2-8.3', '7.4-8.9', '7.4-8.9', '7.20-8.1', '7.2-8.3', '7.2-8.3', '7.4'], ['', '', '', '', '', '', '//'], ['', '', '', '', '', '', '8.9']]",7.2-8.3 // 8.9,7th row Length Range ,7.2-8.3,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Lapeer_Algoe_FISHc_010.jpg,
58642798,"[['7.4-8.9', '8.0-8.4', '8.0-8.4', '7.4-8.9', '7.4-8.9', '7.4-8.9', '7.4'], ['', '', '', '', '', '', '//'], ['', '', '', '', '', '', '8.9']]",7.4-8.9 // 8.9,8th row Length Range ,7.4-8.9,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Lapeer_Algoe_FISHc_010.jpg,
58642798,"[['8.0-8.4', '8.7', '8.7-8.7', '8.0-8.4', '8.0-8.4', '8.0-8.4', '8.0'], ['', '', '', '', '', '', '//'], ['', '', '', '', '', '', '8.4']]",8.0-8.4 // 8.4,9th row Length Range ,8.0-8.4,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Lapeer_Algoe_FISHc_010.jpg,
58642798,"[['8.7-8.7', '8.7-8.7', '8.7-8.7', '8.7-8.7', '8.7'], ['', '', '', '', '///'], ['', '', '', '', '8.7']]",8.7-8.7 /// 8.7,10th row Length Range ,8.7-8.7,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Lapeer_Algoe_FISHc_010.jpg,
58642800,"[['5.4-6.2', '0']]",5.4-6.2,Second row Length Range ,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Lapeer_Algoe_FISHc_012.jpg,
58642800,"[['5.79', '0']]",5.79,Second row Mean Length ,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Lapeer_Algoe_FISHc_012.jpg,
58642800,"[['6.10', '6.1', '6.77', '6.10', '6.1']]",6.1,Fourth row Mean Length ,6.1,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Lapeer_Algoe_FISHc_012.jpg,
58642800,"[['7.60', '7.6', '8.11', '7.60']]",7.6,7th row Mean Length ,7.6,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Lapeer_Algoe_FISHc_012.jpg,
58642800,"[['7.4-8.9', '7.4-8.8', '8.0-8.4', '7.4-8.9']]",7.4-8.9,8th row Length Range ,7.4-8.9,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Lapeer_Algoe_FISHc_012.jpg,
58642800,"[['8.70', '8.7', '8.70']]",8.7,10th row Mean Length ,8.7,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Lapeer_Algoe_FISHc_012.jpg,
