"subject_id","resorts_min_n","liveries_min_n","cottages_min_n","hotels_homes_min_n","resorts_max_n","liveries_max_n","cottages_max_n","hotels_homes_max_n"
63264521,0,0,0,0,NA,NA,NA,NA
63264522,1,1,10,NA,NA,NA,NA,NA
63264523,NA,NA,1,NA,NA,NA,NA,NA
63264524,0,0,0,0,NA,NA,NA,NA
63264525,0,0,10,0,NA,NA,NA,NA
63264526,NA,NA,3,NA,NA,NA,NA,NA
63264527,NA,1,5,NA,NA,NA,NA,NA
63264528,0,0,0,0,NA,NA,NA,NA
63264529,0,0,1,0,NA,NA,NA,NA
63264530,NA,NA,0,NA,NA,NA,NA,NA
63264531,0,0,0,0,NA,NA,NA,NA
63264532,0,1,0,0,NA,NA,NA,NA
63264533,0,1,0,0,NA,6,NA,NA
63264534,0,0,0,0,NA,NA,NA,NA
63264535,0,0,0,0,NA,NA,NA,NA
63264536,0,0,0,0,NA,NA,NA,NA
63264537,0,0,0,0,NA,NA,NA,NA
63264538,NA,NA,0,NA,NA,NA,NA,NA
63264539,0,0,0,0,NA,NA,NA,NA
63264540,0,0,0,0,NA,NA,NA,NA
63264541,0,0,0,0,NA,NA,NA,NA
63264542,0,0,0,0,NA,NA,NA,NA
63264543,0,0,0,0,NA,NA,NA,NA
63264544,0,0,0,0,NA,NA,NA,NA
63264545,0,0,1,0,NA,NA,NA,NA
63264546,NA,NA,0,NA,NA,NA,NA,NA
63264547,NA,NA,NA,NA,NA,NA,NA,NA
63264548,0,0,0,0,NA,NA,NA,NA
63264550,1,0,2,0,NA,NA,NA,NA
63264551,2,2,20,0,NA,NA,NA,NA
63264552,NA,NA,1,NA,NA,NA,NA,NA
63264553,1,0,123,NA,NA,NA,NA,NA
63264557,0,0,0,0,NA,NA,NA,NA
63264558,0,1,0,0,NA,NA,NA,NA
63264559,0,0,0,0,NA,NA,NA,NA
63264560,0,0,0,0,NA,NA,NA,NA
63264561,0,0,0,0,NA,NA,NA,NA
63264562,0,1,0,0,NA,NA,NA,NA
63264563,0,0,4,0,NA,NA,NA,NA
63264565,1,0,6,0,NA,NA,NA,NA
63264566,0,0,4,0,NA,NA,NA,NA
63264567,0,0,0,0,NA,NA,NA,NA
63264568,0,0,4,0,NA,NA,NA,NA
63264569,0,0,0,0,NA,NA,NA,NA
63264570,0,0,0,0,NA,NA,NA,NA
63264571,0,0,0,0,NA,NA,NA,NA
63264572,0,0,0,0,NA,NA,NA,NA
63264573,0,0,0,0,NA,NA,NA,NA
63264574,0,0,2,0,NA,NA,NA,NA
63264575,3,1,40,0,NA,NA,NA,NA
