"subject_id","temp_surface_max_c","temp_surface_min_c","temp_bottom_max_c","temp_bottom_min_c","do_above_thermo_max_ppm","do_above_thermo_min_ppm","do_in_thermo_max_ppm","do_in_thermo_min_ppm","do_below_thermo_max_ppm","do_below_thermo_min_ppm"
63264478,NA,22.778,NA,7.778,NA,6.8,NA,8.6,NA,5.5
63264479,23.889,15,16,15.8,8.2,5.5,NA,NA,7.8,5
63264480,NA,21.222,NA,15.389,NA,4.5,NA,3.7,NA,0.9
63264481,NA,23.222,NA,21.611,6.3,6,NA,NA,NA,NA
63264482,NA,20,NA,20,NA,7.6,NA,NA,NA,NA
63264483,18.333,17.222,NA,NA,NA,NA,NA,NA,NA,NA
63264484,NA,21,NA,20.5,6.8,7.6,NA,NA,NA,NA
63264485,NA,20.556,NA,9.444,3.8,6.3,NA,NA,NA,1.4
63264486,NA,24.444,NA,10,6.1,5.9,2,2,2.1,2
63264487,NA,25,NA,25,6.8,6.3,NA,NA,NA,NA
63264488,NA,20.556,NA,5.111,NA,7.9,NA,7,NA,2.9
63264489,NA,19.7,NA,7.8,NA,7.03,NA,4.72,NA,0
63264491,23.889,23.333,6,5.7,8,5,NA,NA,6.7,5.8
63264492,NA,22.5,NA,11.5,NA,NA,NA,NA,NA,NA
63264493,NA,21.667,NA,15.556,5.12,5.24,5.24,5,NA,3.4
63264494,NA,18.333,NA,5.667,NA,7.5,0.6,5.1,NA,0
63264495,NA,21.111,NA,22.778,7,5.7,NA,NA,NA,NA
63264496,NA,22.778,NA,8.889,6.8,6.6,0.8,6.6,NA,0
63264497,NA,22.222,NA,NA,NA,NA,NA,NA,NA,NA
63264498,NA,23,NA,16.222,NA,5,NA,4.4,NA,0.4
63264499,NA,21.111,NA,20,NA,8,NA,NA,NA,NA
63264500,NA,11.111,NA,11.111,NA,NA,NA,NA,NA,NA
63264501,24.2,21.8,NA,11.8,7.8,7.6,NA,NA,NA,0.2
63264502,NA,25,NA,8.333,3.7,7,1.2,3.7,NA,0
63264503,23.889,21.111,NA,18.333,8.1,8,NA,NA,NA,NA
63264504,23.333,20.556,20.667,19.889,8.8,8.1,NA,NA,NA,NA
63264506,NA,25.556,NA,3.889,0,5,2,7,0,1
63264507,NA,22.222,NA,5,NA,4.68,4.48,3.24,NA,1.6
63264508,23.889,21.111,NA,18.333,8.1,8,NA,NA,NA,NA
63264509,NA,17.722,NA,7.389,5.2,7,0,5.2,NA,0
63264510,NA,22.778,NA,6.667,NA,6.5,3.1,6.5,0.7,3.1
63264511,NA,24.444,NA,8.889,NA,8.5,0,8.4,NA,0
63264512,NA,23.333,NA,13.889,NA,6.7,1,6.7,NA,NA
63264513,NA,21.111,NA,11.111,8.3,9,NA,NA,0.5,3.8
63264516,NA,20.889,NA,5.667,NA,8.4,1.9,6.5,NA,0
63264519,NA,18.667,NA,4.5,NA,6.8,NA,NA,NA,0
63264520,NA,21.111,NA,8.889,7.2,8.1,8,7.2,3.8,9.3
63264522,NA,23.333,NA,NA,NA,NA,NA,NA,NA,NA
63264523,NA,19.5,NA,8.5,6,7.4,NA,NA,NA,5
63264527,21.667,17.778,NA,18,7.5,7.5,NA,NA,NA,NA
63264528,NA,23.889,NA,7.778,7.2,7,4.9,7,2.3,5.4
63264530,NA,22.222,NA,18.333,6,7,4.7,6,NA,NA
63264535,NA,20.278,NA,4.778,NA,9.5,1,7.5,NA,0
63264536,NA,16,NA,NA,NA,NA,NA,NA,NA,NA
63264537,NA,22.778,NA,17.778,NA,3.5,NA,3.8,NA,4.8
63264538,NA,22.778,NA,6.111,5.9,6.5,4.9,5.9,2.4,4.9
63264539,NA,20.611,NA,10.611,NA,5.1,NA,NA,NA,NA
63264541,NA,22.222,NA,22,6.2,6,NA,NA,NA,NA
63264543,NA,23.333,NA,8.889,7.3,8,0,7.1,NA,0
63264544,NA,20.1,NA,20.1,5.97,6.05,NA,NA,NA,NA
63264545,NA,23.333,NA,7.778,4.3,6.4,1.8,4.3,0.8,1.8
63264546,NA,23.889,NA,20.556,4.3,6.5,NA,NA,NA,NA
63264547,NA,18.111,NA,8.333,4.76,6.88,NA,4.76,0.32,0.4
63264549,NA,22.778,NA,10.556,5.5,6.6,0.2,4,NA,NA
63264550,23.333,21.667,NA,6.8,6.6,6.4,NA,NA,3.4,0.3
63264551,NA,18.333,NA,NA,NA,NA,NA,NA,NA,NA
63264552,NA,75,NA,43,NA,3.76,4.32,3.56,NA,3.52
63264553,NA,26.667,NA,16.111,NA,10,NA,9.5,NA,5.4
63264555,NA,20.556,NA,NA,NA,NA,NA,NA,NA,NA
63264557,NA,13,NA,9,NA,9.2,NA,NA,NA,0.1
63264558,23,19.6,NA,11.4,8.1,6.45,NA,NA,4.6,1.1
63264562,NA,25.5,NA,8.6,NA,7.3,6.3,9.1,NA,0.5
63264565,NA,12.778,NA,NA,NA,NA,NA,NA,NA,NA
63264568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63264569,NA,22.222,8.333,7.778,NA,8.4,NA,5.9,NA,1.4
63264570,NA,14.444,NA,NA,NA,NA,NA,NA,NA,NA
63264575,NA,23.333,NA,7.222,NA,7.1,7.2,5.2,NA,4.6
63264576,NA,19.7,NA,16.2,NA,NA,NA,NA,NA,NA
63264581,NA,24.1,NA,11.4,NA,7.56,NA,NA,NA,1
63264582,NA,20,NA,8.333,NA,7.2,3.2,6.9,NA,1.1
63264585,NA,19.444,NA,17.778,NA,7.8,NA,7.3,NA,NA
63264586,25.556,21.111,NA,NA,NA,NA,NA,NA,NA,NA
63264588,NA,23.333,NA,12,NA,8.8,7.2,1.5,NA,0.6
63264589,25,20,NA,10,NA,NA,NA,NA,NA,NA
63264595,NA,22,NA,12.7,NA,7.3,NA,NA,NA,2.6
63264597,NA,25.556,NA,11.111,5.6,9,NA,5.6,NA,1
63264598,NA,21.111,NA,7.722,8.5,8.2,NA,7.5,NA,4.7
63264599,22.778,20,NA,6.111,NA,10,NA,NA,7,1
63264601,22.778,17.778,NA,NA,NA,NA,NA,NA,NA,NA
63264602,NA,17.222,NA,NA,NA,NA,NA,NA,NA,NA
63264603,NA,21.667,NA,7.222,NA,NA,NA,NA,1.8,4.5
63264607,NA,24.444,NA,10.111,NA,NA,6.1,7,NA,NA
63264608,NA,23.2,NA,6.4,NA,5.8,7.2,6.8,2.6,5.8
63264609,NA,21.667,NA,20.556,NA,7,NA,NA,NA,NA
63264610,NA,24.8,NA,19.4,5.9,5.4,NA,5.4,NA,5.4
63264611,NA,21.111,NA,18.889,7.92,8.01,NA,NA,NA,NA
63264612,NA,23.889,NA,NA,NA,NA,NA,NA,NA,NA
63264613,NA,17.778,NA,5,8.4,8.6,6.8,9.5,0,1.9
63264614,22.778,21.111,5,3.889,8.1,6.6,6.6,5.3,4.9,0.2
63264615,22.222,21.111,NA,18.333,7.6,7.6,NA,7.6,NA,7.6
63264616,NA,23.333,NA,9.444,NA,8,3,4,NA,2
63264617,NA,22.778,NA,18.333,NA,6.2,NA,5.6,NA,4.9
63264618,NA,21,NA,8,NA,7.6,NA,NA,NA,5.8
63264619,NA,22.778,NA,5.556,NA,5.45,4.36,5.64,NA,1.12
63264620,NA,23.333,NA,21.111,NA,9,NA,NA,NA,NA
63264621,NA,23.889,NA,5.556,NA,5.6,NA,NA,NA,2.2
63264622,NA,22.722,NA,17.778,NA,7.9,NA,NA,NA,8.6
63264623,NA,25.556,NA,9.444,NA,7.3,NA,3.06,NA,1.5
63264624,NA,NA,NA,NA,6.5,4,NA,NA,NA,NA
63264625,NA,26,NA,9.5,6.1,7,NA,NA,NA,4.1
63264626,NA,22.222,NA,21.111,NA,9,NA,NA,NA,NA
63264627,NA,12.222,NA,7.222,NA,1.4,NA,NA,NA,1.4
63264628,24.444,22.778,NA,16.389,7.4,40,4,0.7,NA,NA
63264629,NA,24.5,NA,11.5,7.2,6.4,NA,NA,NA,3.9
63264630,NA,23.889,NA,15.556,6,7,NA,NA,NA,6
63264631,21.111,18.333,18.333,5.556,NA,8.2,4.7,0,NA,0
63264632,NA,24.444,NA,NA,NA,NA,NA,NA,NA,NA
63264633,NA,21.111,NA,10.3,6.9,6.4,NA,NA,NA,0
63264634,NA,23.333,NA,21.111,NA,NA,NA,NA,NA,NA
63264635,NA,20.556,NA,11.111,8,6,1,1,NA,NA
63264636,NA,26,NA,8,NA,7,NA,NA,NA,0
63264637,NA,20,NA,17.278,NA,8,NA,NA,NA,NA
63264638,NA,22.778,NA,8.333,6,6.7,0.2,7.1,NA,NA
63264639,NA,23.056,NA,20.5,NA,NA,NA,NA,NA,NA
63264640,NA,19.778,NA,6.667,10,9,9,7,NA,3.5
63264641,NA,12.778,NA,NA,NA,NA,NA,NA,NA,NA
63264642,NA,28.333,NA,12.778,NA,7.6,0.2,3.8,NA,0
63264643,28.333,27.222,25,23.1,7.4,4.9,NA,NA,4.9,0
63264644,NA,26.1,NA,13,5.5,8.2,NA,NA,0,0
