"subject_id","thermocline_loc_min_m","thermocline_loc_max_m","flag_bottom","thermocline_present"
63265074,1.524,7.62,NA,NA
63265075,3.048,7.62,NA,"yes"
63265076,6.096,NA,NA,NA
63265081,1.524,6.096,NA,"yes"
63265082,1.829,5.486,NA,"yes"
63265084,3.048,7.62,NA,NA
63265089,NA,NA,NA,NA
63265090,2.743,4.419,"yes","yes"
63265093,NA,NA,NA,NA
63265095,NA,NA,NA,"no"
63265101,NA,NA,NA,NA
63265102,NA,NA,NA,"no"
63265109,3.657,6.4,NA,NA
63265115,1.829,5.486,NA,NA
63265116,1.524,3.962,NA,NA
63265117,4.572,NA,NA,NA
63265119,2.133,4.572,NA,NA
63265121,2.438,4.572,NA,NA
63265123,5.181,6.096,NA,NA
63265124,2.743,7.01,NA,NA
63265127,2.743,7.315,NA,"yes"
63265128,5.791,6.096,NA,"yes"
63265129,4.572,9.144,NA,NA
63265130,2.743,3.657,NA,"yes"
63265134,4.572,7.62,NA,"yes"
63265140,3.048,4.572,NA,"yes"
63265143,NA,NA,NA,NA
63265144,2.743,5.486,NA,"yes"
63265145,5.486,6.705,NA,"yes"
63265146,1.524,NA,NA,NA
63265148,3.048,NA,NA,NA
63265149,3.353,6.096,NA,NA
63265154,3.657,6.4,NA,NA
63265160,NA,NA,NA,NA
63265163,3.657,4.572,NA,"yes"
63265164,NA,NA,NA,NA
63265165,3.048,NA,NA,"yes"
63265166,3.657,4.572,NA,"yes"
63265167,NA,NA,NA,NA
63265170,6.096,NA,NA,NA
63265171,4.572,NA,NA,NA
63265174,7.62,10.667,NA,NA
63265175,4.572,NA,NA,NA
63265177,3.657,5.486,NA,NA
63265178,5.334,9.144,NA,"yes"
63265181,3.962,10.667,NA,"yes"
63265182,3.048,9.144,NA,"yes"
63265184,5.334,11.429,NA,"yes"
63265185,4.572,7.62,NA,"yes"
63265188,3.81,6.096,NA,NA
63265192,3.048,4.572,NA,"yes"
63265195,NA,NA,NA,"no"
63265196,7.62,10.667,NA,NA
63265198,4.572,7.62,NA,NA
63265199,7.62,10.667,NA,NA
63265200,4.572,6.096,NA,NA
63265201,3.657,7.01,NA,NA
63265203,5.334,6.096,NA,NA
63265205,3.657,9.144,NA,NA
63265206,4.572,6.096,NA,NA
63265209,5.181,10.667,NA,NA
63265212,3.353,6.096,NA,NA
63265214,2.286,7.315,NA,"yes"
63265217,2.286,3.81,NA,NA
63265219,3.048,6.096,NA,NA
63265223,1.829,6.4,NA,"yes"
63265224,0.914,6.4,NA,"yes"
63265226,2.743,6.096,"yes",NA
63265229,3.657,7.62,NA,NA
63265230,3.657,4.267,NA,NA
63265233,1.524,3.048,"yes",NA
63265234,NA,NA,NA,"yes"
63265237,NA,NA,NA,NA
63265245,0.914,3.657,"yes","yes"
63265247,NA,NA,NA,NA
63265249,5.334,10.667,NA,"yes"
63265250,5.486,7.62,NA,NA
63265253,3.048,6.096,NA,"yes"
63265254,5.486,7.62,NA,"yes"
63265256,5.486,7.315,NA,NA
63265263,5.181,9.144,NA,"yes"
63265264,9.144,12.801,NA,"yes"
63265265,7.01,12.191,NA,NA
63265266,5.334,9.144,NA,NA
63265269,4.572,6.705,NA,"yes"
63265270,4.572,9.144,NA,NA
63265273,4.572,9.144,NA,NA
63265276,6.096,9.144,NA,NA
63265278,6.096,9.144,NA,NA
63265279,2.743,5.486,NA,"yes"
63265280,3.048,7.62,NA,NA
63265286,6.096,8.534,NA,NA
63265287,1.829,5.486,NA,"yes"
63265288,NA,NA,NA,"no"
63265294,9.144,11.429,NA,NA
63265296,NA,NA,NA,"no"
63265297,3.657,10.058,"yes",NA
63265298,9.144,NA,NA,NA
63265301,NA,NA,NA,NA
63265302,NA,NA,NA,"yes"
63265303,7.315,9.144,NA,"yes"
63265304,NA,NA,NA,NA
63265305,9.144,12.801,NA,"yes"
63265306,6.096,9.906,NA,NA
63265307,3.048,6.096,NA,NA
63265309,3.048,6.096,NA,"yes"
63265313,3.048,6.096,NA,"yes"
63265315,3.048,8.229,NA,"yes"
63265316,0.61,NA,NA,"yes"
63265317,3.048,6.096,NA,NA
63265318,6.096,9.144,NA,NA
