"subject_id","thermocline_loc_min_m","thermocline_loc_max_m","flag_bottom","thermocline_present"
63265935,2.133,NA,NA,"yes"
63265937,1.524,NA,NA,"yes"
63265940,2.438,NA,NA,"yes"
63265941,NA,NA,NA,"no"
63265943,6.4,8.229,NA,"yes"
63265944,NA,NA,NA,"no"
63265946,4.572,6.4,NA,"yes"
63265948,4.877,6.705,NA,"yes"
63265950,2.438,6.096,NA,"yes"
63265952,2.133,4.572,NA,NA
63265953,4.572,9.144,NA,NA
63265955,7.62,9.144,NA,NA
63265958,7.62,9.144,NA,NA
63265960,7.315,9.144,NA,NA
63265961,3.657,7.62,NA,NA
63265962,4.572,8.382,NA,NA
63265965,4.572,10.667,NA,NA
63265966,NA,NA,NA,"no"
63265968,1.524,7.62,NA,NA
63265969,6.096,NA,NA,"yes"
63265970,1.524,7.62,NA,NA
63265971,4.572,9.144,NA,"yes"
63265972,6.096,8.229,NA,"yes"
63265973,1.524,6.096,"yes",NA
63265974,4.572,9.144,NA,NA
63265975,10.667,12.191,NA,"yes"
63265977,NA,NA,NA,NA
63265978,6.096,9.144,NA,NA
63265979,5.791,10.667,NA,"yes"
63265981,5.791,10.667,NA,NA
63265982,3.962,6.096,NA,"yes"
63265988,3.657,8.229,NA,"yes"
63265989,7.62,9.753,NA,NA
63265993,4.572,9.144,NA,"yes"
63265998,9.753,12.191,NA,NA
63265999,5.334,8.382,NA,NA
63266001,7.62,9.144,NA,NA
63266002,5.334,9.144,NA,"yes"
63266003,5.181,9.144,NA,NA
63266004,4.572,7.62,NA,"yes"
63266006,6.096,10.058,NA,"yes"
63266007,3.657,4.267,NA,"yes"
63266009,3.657,6.096,NA,"yes"
63266010,5.181,10.667,NA,NA
63266011,1.524,6.096,"yes","yes"
63266013,6.858,10.667,NA,NA
63266014,4.572,12.191,NA,"yes"
63266016,6.4,9.753,NA,"yes"
63266021,4.572,8.382,NA,NA
63266023,3.048,7.01,NA,NA
63266024,3.048,10.667,NA,"yes"
63266028,6.858,10.667,NA,"yes"
63266029,4.572,9.144,NA,"yes"
63266032,3.048,7.62,NA,NA
63266033,3.048,NA,"yes","yes"
63266043,3.048,8.534,NA,NA
63266044,3.962,6.096,"yes","yes"
63266046,3.81,8.229,"yes","yes"
63266051,2.438,4.267,"yes","yes"
63266055,NA,NA,NA,"no"
63266058,5.486,8.961,"yes",NA
63266060,5.486,9.144,NA,"yes"
63266061,2.438,5.791,"yes","yes"
63266063,3.657,5.486,NA,"yes"
63266065,3.048,6.096,"yes","yes"
63266066,NA,NA,NA,NA
63266071,5.334,7.924,NA,"yes"
63266073,3.657,6.705,NA,NA
63266076,3.048,6.096,NA,"yes"
63264308,3.657,5.181,NA,"yes"
63264316,4.877,7.62,NA,"yes"
63264318,7.559,7.559,NA,"yes"
63264322,7.315,8.534,NA,"yes"
63264330,NA,NA,NA,"no"
63264334,4.267,5.486,NA,"yes"
63264348,9.144,15.239,NA,NA
63264358,NA,NA,NA,"no"
63264359,8.534,16.458,NA,"yes"
63264363,8.534,16.458,NA,"yes"
63264367,4.572,7.315,NA,"yes"
63264377,1.829,4.572,NA,NA
63264382,5.181,8.229,NA,NA
63264386,4.572,5.181,NA,NA
63264391,9.753,12.191,NA,"yes"
63264396,4.572,10.667,NA,"yes"
63264397,4.572,10.667,NA,"yes"
63264399,NA,NA,NA,NA
63264403,1.829,4.572,NA,NA
63264413,4.572,9.144,NA,"yes"
63264414,3.048,7.62,NA,"yes"
63264426,4.572,7.62,NA,"yes"
63264448,2.743,4.572,NA,NA
63264449,5.791,5.791,NA,NA
63264452,1.524,3.048,NA,NA
63264453,1.524,6.096,NA,NA
63264456,2.133,3.962,NA,NA
63264458,1.524,3.048,NA,NA
63264479,1.829,5.486,NA,"yes"
63264486,3.048,4.877,NA,NA
63264488,1.524,4.572,NA,NA
63264492,3.657,6.096,NA,"yes"
63264498,2.286,3.81,NA,NA
63264500,NA,NA,NA,NA
63264506,1.524,7.62,NA,NA
63264510,1.829,5.791,NA,NA
63264512,3.657,5.486,NA,"yes"
63264520,7.315,10.972,NA,NA
63264523,6.096,12.191,NA,"yes"
63264528,3.657,8.229,NA,"yes"
63264539,1.829,2.743,NA,NA
63264543,1.829,5.486,NA,NA
63264545,2.743,6.4,NA,NA
63264549,2.133,6.096,NA,NA
63264567,NA,NA,NA,NA
63264568,NA,NA,NA,NA
63264569,4.572,7.62,NA,NA
63264581,8.229,12.191,NA,"yes"
63264584,NA,NA,NA,NA
63264589,7.62,12.191,NA,NA
63264603,6.705,10.667,NA,"yes"
63264608,4.572,8.229,NA,NA
63264615,5.181,6.096,NA,NA
63264619,1.829,5.486,NA,NA
63264625,3.048,7.62,NA,"yes"
63264628,4.572,7.315,NA,NA
63264636,1.829,5.486,NA,NA
63264638,2.438,9.144,NA,NA
63264639,NA,NA,NA,"no"
63264640,3.048,7.924,NA,NA
63264644,4.572,8.382,NA,"yes"
63264647,4.572,7.62,NA,NA
63264661,NA,NA,NA,"no"
63264662,NA,NA,NA,"no"
63264668,4.572,7.62,NA,"yes"
63264675,3.048,6.096,NA,NA
63264681,2.743,7.315,NA,"yes"
63264683,6.4,NA,NA,"yes"
63264684,4.267,5.181,NA,NA
63264685,NA,NA,NA,"no"
63264688,4.572,7.924,NA,"yes"
63264697,3.048,7.315,NA,NA
63264724,6.096,9.144,NA,"yes"
63264733,4.572,8.382,NA,"yes"
63264740,3.962,10.667,NA,NA
63264746,6.858,10.667,NA,"yes"
63264749,4.572,7.62,NA,"yes"
63264754,4.572,10.667,NA,NA
63264757,4.572,9.144,NA,"yes"
63264758,3.048,9.144,NA,"yes"
63264760,4.572,7.62,NA,NA
63264764,6.096,7.62,NA,"yes"
63264771,4.572,9.144,NA,"yes"
63264772,5.334,9.144,NA,"yes"
63264775,3.962,9.144,NA,NA
63264777,NA,NA,NA,"no"
63264778,NA,NA,NA,"no"
63264782,4.572,6.096,NA,"yes"
63264786,3.048,7.01,NA,"yes"
63264789,5.334,9.144,NA,NA
63264790,3.048,9.753,NA,NA
63264791,4.877,8.839,NA,NA
63264792,6.096,9.144,NA,"yes"
63264799,4.572,9.144,NA,"yes"
63264802,4.572,9.144,NA,"yes"
63264843,NA,NA,NA,NA
63264847,5.486,6.705,NA,NA
63264852,NA,NA,NA,"no"
63264867,4.572,9.144,NA,"yes"
63264869,5.181,8.839,NA,"yes"
63264870,3.048,4.877,NA,"yes"
63264872,4.572,9.144,NA,"yes"
63264874,3.048,6.096,NA,"yes"
63264875,3.048,4.572,NA,"yes"
63264878,2.133,5.486,NA,"yes"
63264881,4.572,7.62,NA,"yes"
63264882,1.524,6.096,NA,"yes"
63264884,5.486,12.191,NA,"yes"
63264887,3.962,4.877,NA,"yes"
63264889,6.096,7.62,NA,NA
63264891,5.486,7.62,NA,NA
63264896,8.229,9.144,NA,"yes"
63264898,3.962,9.144,NA,NA
63264902,8.229,13.715,NA,NA
63264906,6.096,9.144,NA,"yes"
63264907,8.534,12.191,NA,NA
63264908,8.229,9.753,NA,NA
63264909,6.096,9.144,NA,"yes"
63264910,3.048,6.096,NA,NA
63264913,9.144,11.277,NA,NA
63264921,5.486,10.667,NA,NA
63264923,4.267,9.753,NA,NA
63264929,5.486,6.4,NA,NA
63264934,NA,NA,NA,"no"
63264940,NA,NA,NA,"no"
63264942,5.486,10.972,NA,"yes"
63264943,NA,NA,NA,"no"
63264944,4.572,5.334,NA,NA
63264949,3.657,6.096,NA,"yes"
63264950,4.572,9.144,NA,"yes"
63264953,6.4,9.144,NA,"yes"
63264955,3.81,6.858,NA,NA
63264960,NA,NA,NA,"no"
63264962,3.962,8.534,NA,"yes"
63264963,4.572,7.62,NA,NA
63264965,NA,NA,NA,"no"
63264966,7.315,9.144,NA,"yes"
63264969,4.572,8.382,NA,NA
63264971,3.048,6.858,NA,NA
63264972,3.657,9.144,NA,"yes"
63264973,2.438,8.534,NA,"yes"
63264981,5.486,9.144,NA,NA
63264984,4.572,7.62,NA,"yes"
63264985,4.572,7.62,NA,NA
63264987,3.657,8.229,NA,NA
63264990,6.705,10.667,NA,"yes"
63264991,4.572,7.315,NA,"yes"
63264993,0.914,2.743,NA,"yes"
63264994,6.096,9.144,NA,"yes"
63264996,2.743,5.486,NA,"yes"
63265009,4.572,7.62,NA,"yes"
63265011,4.572,7.924,NA,"yes"
63265016,3.962,10.972,NA,NA
63265019,4.572,9.144,NA,NA
63265027,3.048,8.534,NA,NA
63265035,3.657,6.096,NA,"yes"
63265038,NA,NA,NA,"no"
63265039,4.572,7.62,NA,"yes"
63265042,NA,NA,NA,NA
63265054,7.315,9.144,NA,NA
63265059,2.438,6.096,NA,"yes"
63265067,6.096,8.229,NA,"yes"
63265071,3.657,9.448,NA,NA
63265087,1.829,5.486,NA,NA
63265118,1.524,5.486,NA,NA
63265125,6.096,8.534,NA,NA
63265138,2.743,6.096,NA,NA
63265139,NA,NA,NA,"no"
63265156,NA,NA,NA,"no"
63265158,6.096,9.144,NA,NA
63265168,4.572,7.315,NA,NA
63265172,4.572,9.144,NA,"yes"
63265183,3.048,9.144,NA,"yes"
63265187,4.572,9.753,NA,NA
63265190,NA,NA,NA,"no"
63265191,NA,NA,NA,"no"
63265194,NA,NA,NA,NA
63265197,7.315,11.887,NA,"yes"
63265204,7.62,15.239,NA,NA
63265208,7.315,9.144,NA,NA
63265216,3.048,7.62,NA,"yes"
63265222,1.524,3.048,NA,"yes"
63265225,3.657,5.486,NA,NA
63265228,1.524,4.572,NA,NA
63265238,0.914,1.219,NA,NA
63265239,7.315,10.667,NA,"yes"
63265240,1.219,1.524,NA,NA
63265241,4.572,7.01,NA,NA
63265242,3.048,4.572,NA,"yes"
63265246,2.743,6.4,NA,"yes"
63265257,5.486,6.705,NA,NA
63265260,4.572,10.972,NA,"yes"
63265262,4.572,7.62,NA,NA
63265274,4.572,9.144,NA,"yes"
63265277,6.4,9.144,NA,NA
63265281,3.048,6.096,NA,NA
63265282,NA,NA,NA,"no"
63265284,6.096,9.144,NA,NA
63265289,3.81,7.62,NA,NA
63265291,4.572,8.229,NA,"yes"
63265295,7.62,9.144,NA,NA
63265312,5.334,9.144,NA,NA
63265325,NA,NA,NA,"no"
63265326,4.572,7.62,NA,"yes"
63265329,NA,NA,NA,"no"
63265335,NA,NA,NA,"no"
63265341,1.524,3.657,NA,"yes"
63265348,4.572,7.62,NA,"yes"
63265349,6.858,10.667,NA,NA
63265353,5.334,9.906,NA,NA
63265354,4.572,10.667,NA,NA
63265365,6.096,7.62,NA,"yes"
63265372,3.962,9.144,NA,NA
63265377,NA,NA,NA,"no"
63265379,6.096,10.667,NA,"yes"
63265386,4.877,8.839,NA,NA
63265389,4.572,10.058,NA,"yes"
63265390,3.962,7.01,NA,"yes"
63265391,6.096,9.144,NA,"yes"
63265392,4.572,7.924,NA,NA
63265407,4.572,8.229,NA,"yes"
63265433,3.657,6.096,NA,"yes"
63265437,3.048,7.62,NA,"yes"
63265467,NA,NA,NA,NA
63265470,4.267,7.315,NA,NA
63265471,NA,NA,NA,"no"
63265474,5.486,8.229,NA,NA
63265477,6.096,8.534,NA,NA
63265483,NA,NA,NA,NA
63265485,4.267,9.753,NA,NA
63265487,4.572,7.62,NA,NA
63265489,5.181,10.058,NA,NA
63265490,3.048,7.62,NA,NA
63265497,8.534,12.191,NA,NA
63265499,7.62,10.667,NA,NA
63265502,4.572,9.144,NA,NA
63265504,3.657,7.01,NA,"yes"
63265505,6.096,9.144,NA,NA
63265515,6.096,8.229,NA,NA
63265534,3.962,8.229,NA,NA
63265539,5.181,9.144,NA,"yes"
63265559,5.486,10.667,NA,NA
63265563,3.048,5.486,NA,NA
63265569,3.353,4.877,NA,"yes"
63265570,3.657,5.486,NA,"yes"
63265579,NA,NA,NA,"no"
63265587,3.962,7.62,NA,NA
63265597,3.048,4.572,NA,"yes"
63265603,5.181,7.01,NA,NA
63265614,4.877,6.096,NA,"yes"
63265616,8.534,11.277,NA,"yes"
63265619,4.572,6.858,NA,"yes"
63265620,4.877,6.096,NA,NA
63265627,4.572,7.62,NA,"yes"
63265629,3.962,6.096,NA,"yes"
63265632,NA,NA,NA,"no"
63265634,3.81,6.858,NA,NA
63265637,3.657,7.62,NA,NA
63265638,3.048,7.924,NA,NA
63265644,1.524,4.572,NA,"yes"
63265657,NA,NA,NA,"no"
63265659,2.743,3.657,NA,NA
63265664,4.572,9.906,NA,"yes"
63265666,5.334,8.382,NA,"yes"
63265668,6.858,10.667,NA,NA
63265669,NA,NA,NA,"no"
63265672,4.572,9.144,NA,"yes"
63265676,1.829,6.4,NA,"yes"
63265684,2.743,7.315,NA,"yes"
63265685,2.743,7.315,NA,"yes"
63265689,1.524,4.572,NA,"yes"
63265691,3.048,6.096,NA,NA
63265694,NA,NA,NA,"no"
63265697,6.705,7.924,NA,"yes"
63265698,3.048,NA,NA,"yes"
63265699,6.096,11.429,NA,"yes"
63265700,5.486,7.62,NA,"yes"
63265704,1.829,5.486,NA,"yes"
63265716,5.486,7.62,NA,"yes"
63265727,NA,NA,NA,"no"
63265733,2.743,7.315,NA,"yes"
63265740,NA,NA,NA,"no"
63265754,6.705,9.144,NA,NA
63265757,5.486,9.144,NA,"yes"
63265765,2.133,5.486,NA,"yes"
63265770,4.572,10.667,NA,NA
63265777,3.048,7.62,NA,"yes"
63265778,6.096,7.924,NA,"yes"
63265781,3.048,5.181,NA,"yes"
63265782,5.486,10.058,NA,"yes"
63265784,NA,NA,NA,"no"
63265789,6.858,12.191,NA,NA
63265790,4.572,9.144,NA,"yes"
63265798,6.096,9.144,NA,"yes"
63265800,4.572,6.705,NA,NA
63265802,4.267,6.705,NA,"yes"
63265803,3.962,6.096,NA,"yes"
63265804,4.572,9.144,NA,"yes"
63265805,2.743,4.572,NA,"yes"
63265809,3.657,6.705,NA,"yes"
63265813,3.048,4.877,NA,"yes"
63265815,7.924,10.667,NA,"yes"
63265818,4.267,7.924,NA,"yes"
63265822,6.096,10.667,NA,"yes"
63265835,6.096,9.144,NA,"yes"
63265837,6.096,9.144,NA,NA
63265838,4.572,8.382,NA,"yes"
63265842,3.048,4.877,NA,"yes"
63265845,3.048,9.144,NA,"yes"
63265861,NA,NA,NA,"no"
63265880,3.657,7.924,NA,"yes"
63265887,6.096,7.62,NA,NA
63265888,2.133,5.791,NA,NA
63265891,2.743,4.572,NA,NA
63265895,5.181,7.315,NA,NA
63265903,6.096,8.229,NA,"yes"
63265906,4.572,6.096,NA,NA
63265912,NA,NA,NA,NA
63265915,4.572,5.486,NA,"yes"
63265917,3.048,7.62,NA,NA
63265919,7.62,10.667,NA,NA
63265925,7.62,9.144,NA,NA
63265929,3.962,7.62,NA,"yes"
63265933,3.048,4.267,NA,NA
63265938,8.534,10.667,NA,"yes"
63265939,NA,NA,NA,"no"
63265945,4.572,7.315,NA,NA
63265947,8.229,10.972,NA,NA
63265951,4.877,7.62,NA,NA
63265963,3.657,10.058,NA,"yes"
63265976,NA,NA,NA,NA
63265980,6.096,9.144,NA,NA
63265983,3.81,8.382,NA,"yes"
63265985,NA,NA,NA,"no"
63265986,3.657,7.62,NA,NA
63265987,3.657,7.62,NA,NA
63265990,5.334,9.144,NA,"yes"
63265996,NA,NA,NA,"no"
63266005,4.572,7.62,NA,"yes"
63266015,4.572,10.058,NA,NA
63266022,3.048,7.924,NA,"yes"
63266027,3.048,10.667,NA,NA
63266035,3.048,6.096,NA,NA
63266037,4.572,10.667,NA,NA
63266039,3.962,7.62,NA,NA
63266045,4.572,5.486,NA,"yes"
63266048,3.657,6.096,NA,"yes"
63266054,2.438,6.705,NA,"yes"
63266056,NA,NA,NA,"no"
63266057,2.438,6.096,NA,"yes"
63266070,NA,NA,NA,NA
63266079,7.924,NA,NA,"yes"
63264315,NA,NA,NA,"no"
63264323,NA,NA,NA,"no"
63264326,NA,NA,NA,"no"
63264329,NA,NA,NA,"no"
63264331,NA,NA,NA,"no"
63264332,NA,NA,NA,"no"
63264335,NA,NA,NA,"no"
63264336,NA,NA,NA,"no"
63264339,NA,NA,NA,"no"
63264341,NA,NA,NA,"no"
63264342,NA,NA,NA,"no"
63264351,NA,NA,NA,"no"
63264352,NA,NA,NA,"no"
63264373,NA,NA,NA,"no"
63264380,NA,NA,NA,"no"
63264389,NA,NA,NA,"no"
63264390,NA,NA,NA,"no"
63264398,NA,NA,NA,"no"
63264409,NA,NA,NA,"no"
63264421,NA,NA,NA,"no"
63264433,NA,NA,NA,"no"
63264447,NA,NA,NA,"no"
63264455,NA,NA,NA,"no"
63264459,NA,NA,NA,"no"
63264460,NA,NA,NA,"no"
63264473,NA,NA,NA,"no"
63264503,NA,NA,NA,"no"
63264541,NA,NA,NA,"no"
63264544,NA,NA,NA,"no"
63264551,NA,NA,NA,"no"
63264557,NA,NA,NA,"no"
63264576,NA,NA,NA,"no"
63264585,NA,NA,NA,"no"
63264611,NA,NA,NA,"no"
63264634,NA,NA,NA,"no"
63264637,NA,NA,NA,"no"
63264641,NA,NA,NA,NA
63264660,NA,NA,NA,"no"
63264680,NA,NA,NA,"no"
63264682,NA,NA,NA,"no"
63264695,NA,NA,NA,"no"
63264696,NA,NA,NA,"no"
63264704,NA,NA,NA,"no"
63264705,NA,NA,NA,"no"
63264712,NA,NA,NA,"no"
63264715,NA,NA,NA,"no"
63264723,NA,NA,NA,"no"
63264725,NA,NA,NA,"no"
63264726,NA,NA,NA,"no"
63264727,NA,NA,NA,"no"
63264734,NA,NA,NA,"no"
63264738,NA,NA,NA,"no"
63264744,NA,NA,NA,"no"
63264747,NA,NA,NA,"no"
63264804,NA,NA,NA,"no"
63264805,NA,NA,NA,"no"
63264808,NA,NA,NA,"no"
63264811,NA,NA,NA,"no"
63264815,NA,NA,NA,"no"
63264816,NA,NA,NA,"no"
63264825,NA,NA,NA,"no"
63264827,NA,NA,NA,"no"
63264832,NA,NA,NA,"no"
63264841,NA,NA,NA,"no"
63264842,NA,NA,NA,"no"
63264856,NA,NA,NA,"no"
63264873,NA,NA,NA,"no"
63264877,NA,NA,NA,"no"
63264879,NA,NA,NA,"no"
63264880,NA,NA,NA,"no"
63264888,NA,NA,NA,"no"
63264916,NA,NA,NA,"no"
63264930,NA,NA,NA,"no"
63264932,NA,NA,NA,"no"
63264933,NA,NA,NA,"no"
63264939,NA,NA,NA,"yes"
63264952,NA,NA,NA,"no"
63264974,NA,NA,NA,"no"
63264975,NA,NA,NA,"no"
63264976,NA,NA,NA,"no"
63264979,NA,NA,NA,"no"
63264998,NA,NA,NA,"no"
63264999,NA,NA,NA,"no"
63265001,NA,NA,NA,"no"
63265002,NA,NA,NA,"no"
63265013,NA,NA,NA,"no"
63265014,NA,NA,NA,"no"
63265017,NA,NA,NA,"no"
63265020,NA,NA,NA,"no"
63265021,NA,NA,NA,"no"
63265022,NA,NA,NA,"no"
63265029,NA,NA,NA,"no"
63265033,NA,NA,NA,"no"
63265036,NA,NA,NA,"no"
63265037,NA,NA,NA,"no"
63265040,NA,NA,NA,"no"
63265041,NA,NA,NA,"no"
63265046,NA,NA,NA,"no"
63265053,NA,NA,NA,"no"
63265060,NA,NA,NA,"no"
63265077,NA,NA,NA,"no"
63265079,NA,NA,NA,"no"
63265086,NA,NA,NA,"no"
63265088,NA,NA,NA,"no"
63265098,NA,NA,NA,"no"
63265107,NA,NA,NA,"no"
63265147,NA,NA,NA,"no"
63265161,NA,NA,NA,"no"
63265180,NA,NA,NA,"no"
63265186,NA,NA,NA,"no"
63265193,NA,NA,NA,"no"
63265202,NA,NA,NA,"no"
63265211,NA,NA,NA,"no"
63265261,NA,NA,NA,"no"
63265267,NA,NA,NA,"no"
63265275,NA,NA,NA,"no"
63265285,NA,NA,NA,"no"
63265293,NA,NA,NA,"no"
63265300,NA,NA,NA,"no"
63265311,NA,NA,NA,"no"
63265328,NA,NA,NA,"no"
63265334,NA,NA,NA,"no"
63265344,NA,NA,NA,"no"
63265346,NA,NA,NA,"no"
63265402,NA,NA,NA,"no"
63265404,NA,NA,NA,"no"
63265410,NA,NA,NA,"no"
63265416,NA,NA,NA,"no"
63265422,NA,NA,NA,"no"
63265429,NA,NA,NA,"no"
63265431,NA,NA,NA,"no"
63265432,NA,NA,NA,"no"
63265457,NA,NA,NA,"no"
63265464,NA,NA,NA,"no"
63265472,NA,NA,NA,"no"
63265498,NA,NA,NA,"no"
63265501,NA,NA,NA,"no"
63265530,NA,NA,NA,"no"
63265532,NA,NA,NA,"no"
63265538,NA,NA,NA,"no"
63265543,NA,NA,NA,"no"
63265547,NA,NA,NA,"no"
63265552,NA,NA,NA,"no"
63265565,NA,NA,NA,"no"
63265576,NA,NA,NA,"no"
63265584,NA,NA,NA,"no"
63265594,NA,NA,NA,"no"
63265598,NA,NA,NA,"no"
63265599,NA,NA,NA,"no"
63265600,NA,NA,NA,"no"
63265605,NA,NA,NA,"no"
63265607,NA,NA,NA,"no"
63265610,NA,NA,NA,"no"
63265618,NA,NA,NA,"no"
63265621,NA,NA,NA,"no"
63265625,NA,NA,NA,"no"
63265636,NA,NA,NA,"no"
63265642,NA,NA,NA,"no"
63265643,NA,NA,NA,"no"
63265654,NA,NA,NA,"no"
63265656,NA,NA,NA,"no"
63265671,NA,NA,NA,"no"
63265678,NA,NA,NA,"no"
63265679,NA,NA,NA,"no"
63265681,NA,NA,NA,"no"
63265682,NA,NA,NA,"no"
63265686,NA,NA,NA,"no"
63265696,NA,NA,NA,"no"
63265707,NA,NA,NA,"no"
63265710,NA,NA,NA,"no"
63265714,NA,NA,NA,"yes"
63265718,NA,NA,NA,"no"
63265721,NA,NA,NA,"no"
63265723,NA,NA,NA,"no"
63265730,NA,NA,NA,"no"
63265734,NA,NA,NA,"no"
63265738,NA,NA,NA,"no"
63265746,NA,NA,NA,"no"
63265749,NA,NA,NA,"no"
63265751,NA,NA,NA,"no"
63265769,NA,NA,NA,"no"
63265776,NA,NA,NA,"no"
63265780,NA,NA,NA,"no"
63265787,NA,NA,NA,"no"
63265795,NA,NA,NA,"no"
63265799,NA,NA,NA,"no"
63265812,NA,NA,NA,"no"
63265824,NA,NA,NA,"no"
63265826,NA,NA,NA,"no"
63265827,NA,NA,NA,"no"
63265830,NA,NA,NA,"no"
63265839,NA,NA,NA,"no"
63265860,NA,NA,NA,"no"
63265863,NA,NA,NA,"no"
63265871,NA,NA,NA,"no"
63265884,NA,NA,NA,"no"
63265893,NA,NA,NA,"no"
63265896,NA,NA,NA,"no"
63265905,NA,NA,NA,"no"
63265908,NA,NA,NA,"no"
63265910,NA,NA,NA,"no"
63265918,NA,NA,NA,"no"
63265928,NA,NA,NA,"no"
63265930,NA,NA,NA,"no"
63265942,NA,NA,NA,"no"
63265954,NA,NA,NA,"no"
63265957,NA,NA,NA,"no"
63265967,NA,NA,NA,"no"
63266018,NA,NA,NA,"no"
63266020,NA,NA,NA,"no"
63266026,NA,NA,NA,"no"
63266038,NA,NA,NA,"no"
63266041,NA,NA,NA,"no"
63266042,NA,NA,NA,"no"
63266047,NA,NA,NA,"no"
63266049,NA,NA,NA,"no"
63266050,NA,NA,NA,"no"
63266052,NA,NA,NA,"no"
63266059,NA,NA,NA,"no"
63266067,NA,NA,NA,"no"
63266068,NA,NA,NA,"no"
63266078,NA,NA,NA,"no"
63266082,NA,NA,NA,"no"
63264821,NA,NA,NA,"no"
63264839,NA,NA,NA,NA
63265529,NA,NA,NA,NA
63265601,NA,NA,NA,"no"
63265677,NA,NA,NA,"no"
63266017,NA,NA,NA,"no"
