"subject_id","begin_date_day","begin_date_month","begin_date_year","end_date_day","end_date_month","end_date_year","front","back"
58687339,"19","July","1955","26","July","1955","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Monacle_019.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Monacle_020.jpg"
58687340,"1","October","1955","3","October","1955","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Piatt_007.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Piatt_008.jpg"
58687342,"25","July","1955","28","July","1955","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Soldier_017.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Soldier_018.jpg"
58687343,"14","July","1953","17","July","1953","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Trout_(Big)_007.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Trout_(Big)_008.jpg"
58687344,"10","July","1947",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Walker_016.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Walker_017.jpg"
58687345,"1","July","1971",NA,"July",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Trout_(Little)_002.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Trout_(Little)_003.jpg"
58687346,"11","June","1938","15","June","1938","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Clare_Budd_SUMM_030.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Clare_Budd_SUMM_031.jpg"
58687347,"10","August","1950","11","August","1950","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Clare_Bluegill_SUMM_023.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Clare_Bluegill_SUMM_024.jpg"
58687348,"13","September","1952","14","September","1952","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Clare_Bailey_SUMM_003.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Clare_Bailey_SUMM_004.jpg"
58687349,"9","October","1967",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Clare_Arnold19N_4W_S2-3_SUMM_016.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Clare_Arnold19N_4W_S2-3_SUMM_017.jpg"
