"subject_id","front","back"
48698188,"https://panoptes-uploads.zooniverse.org/subject_location/539eab9d-a4ef-46a7-b0e4-a7945cc5d8ab.jpeg","https://panoptes-uploads.zooniverse.org/subject_location/9c364c2d-615c-4a6d-ad8c-9199f4fd5765.jpeg"
48698190,"https://panoptes-uploads.zooniverse.org/subject_location/bff0e07c-96c5-45f4-a72e-f38ca81e5c5f.jpeg","https://panoptes-uploads.zooniverse.org/subject_location/a9399c7f-69c4-41be-9503-f70cacd1fbfd.jpeg"
58641175,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/CTRE/single/Alger_Deer_20200130140658179_CTRE_0001.jpg",NA
58641176,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/CTRE/single/Alger_Irwin_20200219115713783_CTRE_0001.jpg",NA
58641177,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/CTRE/single/Alger_Deer_20200130140829177_CTRE_0001.jpg",NA
58641178,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/CTRE/single/Cheboygan_TwinLakes_CTRE_003.jpg",NA
58641179,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/CTRE/single/Alger_Deer_20200130140829177_CTRE_0009.jpg",NA
58641180,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/CTRE/single/Cheboygan_TwinLakes_CTRE_004.jpg",NA
58641181,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/CTRE/single/Cheboygan_TwinLakes_CTRE_006.jpg",NA
58641182,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/CTRE/single/Cheboygan_TwinLakes_CTRE_012.jpg",NA
58641183,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/CTRE/single/Alcona_Horseshoe_CTRE_Doc0669.jpg",NA
58641184,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/CTRE/single/Cheboygan_WeberLittle_CTRE_003.jpg",NA
58641185,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/CTRE/single/Cheboygan_WeberLittle_CTRE_004.jpg",NA
58641186,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/CTRE/single/Gladwin_House_CTRE_002.jpg",NA
58641187,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/CTRE/single/GrandTraverse_Sand1_CTRE_001.jpg",NA
58641188,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/CTRE/single/Gogebic_Cornelia_CTRE_002.jpg",NA
58641189,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/CTRE/single/Gogebic_Cornelia_CTRE_002 copy.jpg",NA
58641190,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/CTRE/single/GrandTraverse_Sand1_CTRE_002.jpg",NA
58641191,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/CTRE/single/GrandTraverse_Sand1_CTRE_003.jpg",NA
58641192,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/CTRE/single/GrandTraverse_Sand2_CTRE_001.jpg",NA
58641193,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/CTRE/single/Hillsdale_NumberFive_CTRE_003.jpg",NA
58641194,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/CTRE/single/GrandTraverse_Sand2_CTRE_002.jpg",NA
58641195,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/CTRE/single/Houghton_Kunze_CTRE_017.jpg",NA
58641196,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/CTRE/single/Ionia_Long_CTRE_003.jpg",NA
58641197,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/CTRE/single/Houghton_Hauger_CTRE_003.jpg",NA
58641198,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/CTRE/single/Iron_Cummins_CTRE_001.jpg",NA
58641199,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/CTRE/single/Iron_Dawson_CTRE_040.jpg",NA
58641200,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/CTRE/single/Iron_Skyline_CTRE_004.jpg",NA
58641201,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/CTRE/single/Iron_Killdeer_CTRE_008.jpg",NA
58641202,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/CTRE/single/Iron_Madelyn_CTRE_002.jpg",NA
58641203,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/CTRE/single/Isabella_Stevenson_CTRE_002.jpg",NA
58641204,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/CTRE/single/Iron_Spree_CTRE_003.jpg",NA
58641205,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/CTRE/single/Kent_Bass_CTRE_004.jpg",NA
58641206,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/CTRE/single/Kent_BrowerBig_CTRE_012.jpg",NA
58641207,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/CTRE/single/Kent_BrowerBig_CTRE_006.jpg",NA
58641208,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/CTRE/single/Kent_Crawford_CTRE_024.jpg",NA
58641209,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/CTRE/single/Kent_Long_CTRE_006.jpg",NA
58641210,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/CTRE/single/Kent_Long_CTRE_007.jpg",NA
58641211,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/CTRE/single/Kent_Long_CTRE_009.jpg",NA
58641212,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/CTRE/single/Keweenaw_Eliza_20200313154525513_CTRE_0006.jpg",NA
58641213,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/CTRE/single/Kent_PineIslandBig_CTRE_010.jpg",NA
58641214,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/CTRE/single/Kent_Murray_CTRE_005.jpg",NA
58641215,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/CTRE/single/Kent_Spring_CTRE_009.jpg",NA
