"subject_id","project_id","workflow_id","subject_set_id","metadata","locations","classifications_count"
58642485,9462,17792,93210,"{""id"":""Keweenaw_FannyHooe_FISHc_20200313155906394_0016.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0016.jpeg""}","{""0"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0016.jpeg""}",5
58642486,9462,17792,93210,"{""id"":""Keweenaw_FannyHooe_FISHc_20200313155906394_0015.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0015.jpeg""}","{""0"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0015.jpeg""}",4
58642487,9462,17792,93210,"{""id"":""Keweenaw_FannyHooe_FISHc_20200313155906394_0012.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0012.jpeg""}","{""0"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0012.jpeg""}",4
58642488,9462,17792,93210,"{""id"":""Keweenaw_FannyHooe_FISHc_20200313155906394_0014.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0014.jpeg""}","{""0"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0014.jpeg""}",6
58642489,9462,17792,93210,"{""id"":""Keweenaw_FannyHooe_FISHc_20200313155906394_0017.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0017.jpeg""}","{""0"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0017.jpeg""}",4
58642490,9462,17792,93210,"{""id"":""Keweenaw_FannyHooe_FISHc_20200313155906394_0019.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0019.jpeg""}","{""0"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0019.jpeg""}",4
58642491,9462,17792,93210,"{""id"":""Keweenaw_FannyHooe_FISHc_20200313155906394_0020.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0020.jpeg""}","{""0"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0020.jpeg""}",5
58642492,9462,17792,93210,"{""id"":""Keweenaw_FannyHooe_FISHc_20200313155906394_0018.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0018.jpeg""}","{""0"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0018.jpeg""}",6
58642493,9462,17792,93210,"{""id"":""Keweenaw_FannyHooe_FISHc_20200313155906394_0021.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0021.jpeg""}","{""0"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0021.jpeg""}",4
58642494,9462,17792,93210,"{""id"":""Keweenaw_Glasson_FISHc_20200313160700287_0007.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Glasson_FISHc_20200313160700287_0007.jpeg""}","{""0"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Glasson_FISHc_20200313160700287_0007.jpeg""}",5
