subject_id,new_key,lakename,county,url_front,url_back,comments
59106327,70-88,AMAN,OTTAWA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Ottawa_Aman_FISHc_04.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Ottawa_Aman_FISHc_003.jpeg,matched by TRS; noname in humphries
59965171,NA,ANDERSON,BARAGA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BARAGA_ANDERSON_FISHc_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BARAGA_ANDERSON_FISHc_0001_2.jpeg,cant match; too many noname lakes with TRS
59106005,75-529,BEAR,SCHOOLCRAFT,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_160.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_159.jpeg,some cards have nineteen next to bear so name lines up with humphries and TRS line up
59106006,75-529,BEAR,SCHOOLCRAFT,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_076.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_075.jpeg,
59106007,75-529,BEAR,SCHOOLCRAFT,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_070.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_069.jpeg,
59106008,75-529,BEAR,SCHOOLCRAFT,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_074.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_073.jpeg,
59106009,75-529,BEAR,SCHOOLCRAFT,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_072.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_071.jpeg,
59106010,75-529,BEAR,SCHOOLCRAFT,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_066.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_065.jpeg,
59106011,75-529,BEAR,SCHOOLCRAFT,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_068.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_067.jpeg,
59106012,75-529,BEAR,SCHOOLCRAFT,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_064.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_063.jpeg,
59106013,75-529,BEAR,SCHOOLCRAFT,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_062.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_061.jpeg,
59106014,75-529,BEAR,SCHOOLCRAFT,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_060.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_059.jpeg,
59106015,75-529,BEAR,SCHOOLCRAFT,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_058.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_057.jpeg,
59106016,75-529,BEAR,SCHOOLCRAFT,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_056.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_055.jpeg,
59106017,75-529,BEAR,SCHOOLCRAFT,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_052.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_051.jpeg,
59106018,75-529,BEAR,SCHOOLCRAFT,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_050.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_049.jpeg,
59106019,75-529,BEAR,SCHOOLCRAFT,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_046.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_045.jpeg,
59106020,75-529,BEAR,SCHOOLCRAFT,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_054.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_053.jpeg,
59106021,75-529,BEAR,SCHOOLCRAFT,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_048.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_047.jpeg,
59106022,75-529,BEAR,SCHOOLCRAFT,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_042.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_041.jpeg,
59106023,75-529,BEAR,SCHOOLCRAFT,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_040.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_039.jpeg,
59106024,75-529,BEAR,SCHOOLCRAFT,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_044.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_043.jpeg,
59106025,75-529,BEAR,SCHOOLCRAFT,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_036.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_035.jpeg,
59106026,75-529,BEAR,SCHOOLCRAFT,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_038.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_037.jpeg,
59106027,75-529,BEAR,SCHOOLCRAFT,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_034.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Bear_FISHc_033.jpeg,
