subject_id,new_key,lakename,county,url_front,url_back,notes
82940978,38-20,HEYDLAUFF,JACKSON,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/JACKSON_HEYDLAUFF_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/JACKSON_HEYDLAUFF_SUMM_0001_2.jpeg,matched by TRS and lake area 
82940980,38-659,HOFFMAN,JACKSON,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/JACKSON_HOFFMAN_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/JACKSON_HOFFMAN_SUMM_0001_2.jpeg,looks like all part of little portage lake in contemporary IDs
58687550,NA,HYDROPOND,GRANDTRAVERSE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_HydroPond_SUMM_001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_HydroPond_SUMM_002.jpg,nothing matches TRS
58687556,NA,HYDROPOND,GRANDTRAVERSE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_HydroPond_SUMM_003.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_HydroPond_SUMM_004.jpg,nothing matches TRS
59070632,2-556,JOHNSEAST,ALGER,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ALGER_JOHNSEAST_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ALGER_JOHNSEAST_SUMM_0001_2.jpeg,Known as No Name in Humphries table;20 acres
59070636,2-553,JOHNSWEST,ALGER,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ALGER_JOHNSWEST_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ALGER_JOHNSWEST_SUMM_0001_2.jpeg,Known as No Name in Humphries table; 16 acres
58643134,40-168,KALKASKAMILLPOND,KALKASKA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_KalkaskaMillPond_SUMM_004.jpg,NA,match by TRS
59070802,8-86,LEAPLITTLE,BARRY,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/BARRY_LEAPLITTLE_SUMM_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/BARRY_LEAPLITTLE_SUMM_0002_2.jpeg,based on TRS and acres
59070803,8-86,LEAPLITTLE,BARRY,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/BARRY_LEAPLITTLE_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/BARRY_LEAPLITTLE_SUMM_0001_2.jpeg,based on TRS and acres
59071173,NA,LEGION,MARQUETTE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Marquette_Legion_SUMM_003.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Marquette_Legion_SUMM_004.jpg,too many no names; no match to acres
59071400,NA,LODGE,OGEMAW,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/OGEMAW_LODGE_SUMM_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/OGEMAW_LODGE_SUMM_0004_2.jpeg,could not match by TRS
59070642,75-1049,LONG,ALGER,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ALGER_LONG48NR16SEC33_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ALGER_LONG48NR16SEC33_SUMM_0001_2.jpeg,county is also schoolcraft
59070948,43-67,LITTLELAKENUMBERONE,LAKE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Lake_Ls BigandLittle_SUMM_005.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Lake_Ls BigandLittle_SUMM_006.jpg,matched with name and TRS ; updated name to LitteLakeNumberOne
58688030,66-528,MASSPD,ONTONAGON,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/ONTONAGON_MASSPD_SUMM_0001_1.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/ONTONAGON_MASSPD_SUMM_0001_2.jpg,
59106819,NA,MCCRIMMON,OTSEGO,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Otsego_McCrimmon_SUMM_004.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Otsego_McCrimmon_SUMM_003.jpeg,could not match TRS
