subject_id,Filename,Reason for Removal,Removed?
,Keweenaw_FannyHooe_FISHc_20200313155651942_0018.jpeg,LFCAS not FISHc,Yes
,Livingston_CrookedEast+West_GROW_016.jpg_Livingston_CrookedEast+West_GROW_017.jpg,invalid filename,Yes
,Livingston_CrookedEast+West_GROW_033.jpg_Livingston_CrookedEast+West_GROW_034.jpg,invalid filename,Yes
,Oscoda_Loon_LFCAS_20191210111750447_0001.jpeg_Oscoda_Loon_LFCAS_20191210111750447_0001.tiff,,Yes
,Oscoda_Loon_LFCAS_20191210111750447_0002.jpeg_Oscoda_Loon_LFCAS_20191210111750447_0002.tiff,,Yes
,Roscommon_Houghton_FISHc_20191211123121063_0001.tif_Roscommon_Houghton_FISHc_20191211123121063_0002.tif,Tiff file,Yes
,Tuscola_Shay_SUMM_8.jpeg,,Yes
,VanBuren_VanBuren_Maple_GROW_GROW_46.jpeg,blank card,Yes
59967299,Luce_ManistiqueBig_FISHc_149.jpg_Luce_ManistiqueBig_FISHc_150.jpg,LFCAS not FISHc,Yes
59965004,ANTRIM_SIXMILE_FISHc_0015_1.jpeg_ANTRIM_SIXMILE_FISHc_0015_2.jpeg,FISHs not FISHc,
61361483,WASHTENAW_GEDDES_FISHc_0004_1.jpeg_WASHTENAW_GEDDES_FISHc_0004_2.jpeg,FISHs not FISHc,
59966009,BENZIE_CRYSTAL_FISHc_0007_1.jpeg_BENZIE_CRYSTAL_FISHc_0007_2.jpeg,FISHs not FISHc,
59968385,Marquette_TroutBig_FISHc_104.jpg_Marquette_TroutBig_FISHc_105.jpg,FISHs not FISHc,
59965003,ANTRIM_SIXMILE_FISHc_0014_1.jpeg_ANTRIM_SIXMILE_FISHc_0014_2.jpeg,FISHs not FISHc,
58755167,Keweenaw_Manganese_GROW_20191125121355087_0001.tif_Keweenaw_Manganese_GROW_20191125121355087_0002.tif,TIFF,Yes
59965857,BARRY_LONG2N9WSEC15162021_FISHc_0025_1.jpeg_BARRY_LONG2N9WSEC15162021_FISHc_0025_2.jpeg,FISHs not FISHc,Yes via command line
59966594,CASS_DONNELL_FISHc_0024_1.jpeg_CASS_DONNELL_FISHc_0024_2.jpeg,FISHs not FISHc,Yes
61361467,WASHTENAW_FORD_FISHc_0005_1.jpeg_WASHTENAW_FORD_FISHc_0005_2.jpeg,BOTF not FISHc,
59963532,ALCONA_HUBBARD_FISHc_0006_1.jpeg_ALCONA_HUBBARD_FISHc_0006_2.jpeg,FISHs not FISHc,Yes
61361463,WASHTENAW_FORD_FISHc_0004_1.jpeg_WASHTENAW_FORD_FISHc_0004_2.jpeg,FISHs not FISHc,Yes
61361466,WASHTENAW_FORD_FISHc_0003_1.jpeg_WASHTENAW_FORD_FISHc_0003_2.jpeg,FISHs not FISHc,Yes
59688187,OSCODA_LOON_GROW_0004.jpg,"card cut off, can't read species",yes
58755247,Roscommon_Houghton_GROW_20191211122639219_0004.jpg,"card cut off, can't read species",yes
59970097,ONTONAGON_DEADMAN_FISHc_0005_1.jpg_ONTONAGON_DEADMAN_FISHc_0005_2.jpg,Back side of card cut off,
59969410,NEWAYGO_BILLS_FISHc_0012_1.jpeg_NEWAYGO_BILLS_FISHc_0012_2.jpeg,FISHs not FISHc,yes via command line
59966020,BENZIE_CRYSTAL_FISHc_0019_1.jpeg_BENZIE_CRYSTAL_FISHc_0019_2.jpeg,NOTE not FISHc,yes
59967295,Luce_ManistiqueBig_FISHc_147.jpg_Luce_ManistiqueBig_FISHc_148.jpg,LFCAS not FISHc,yes via command line
59969173,MONTMORENCY_MCCORMICK_FISHc_0017_1.jpeg_MONTMORENCY_MCCORMICK_FISHc_0017_2.jpeg,FISHs not FISHc,yes
59965941,BARRY_PINE2N9WSEC8_FISHc_0018_1.jpeg_BARRY_PINE2N9WSEC8_FISHc_0018_2.jpeg,FISHs not FISHc,yes
59966331,BRANCH_ROSE_FISHc_0030_1.jpeg_BRANCH_ROSE_FISHc_0030_2.jpeg,FISHs not FISHc,yes via command line
59966150,BERRIEN_MURPHEY_FISHc_0001_1.jpeg_BERRIEN_MURPHEY_FISHc_0001_2.jpeg,FISHs not FISHc,yes via command line
59965402,BARAGA_PITTICOAT_FISHc_0001_1.jpeg_BARAGA_PITTICOAT_FISHc_0001_2.jpeg,Image won't show up,yes
59965002,ANTRIM_SIXMILE_FISHc_0013_1.jpeg_ANTRIM_SIXMILE_FISHc_0013_2.jpeg,FISHs not FISHc,yes via command line
58753519,Ottawa_Jacobena_FISHc_2.jpeg_Ottawa_Lloyds_FISHc_10.jpeg,both sides are front sides of different cards,yes
59965003,ANTRIM_SIXMILE_FISHc_0014_1.jpeg_ANTRIM_SIXMILE_FISHc_0014_2.jpeg,FISHs not FISHc,yes
59964209,ALGER_LEGIONPINE_FISHc_0001_1.jpeg_ALGER_LEGIONPINE_FISHc_0001_2.jpeg,FISHs not FISHc,yes
59969121,MONTMORENCY_FISHWEST_FISHc_0009_1.jpeg_MONTMORENCY_FISHWEST_FISHc_0009_2.jpeg,FISHs not FISHc,yes
58751432,Houghton_Roland_FISHc_046.jpg_Houghton_Roland_FISHc_047.jpg,Two different FISHc cards,yes
58753572,Roscommon_Houghton_FISHc_20191211122930340_0001.jpg_Roscommon_Houghton_FISHc_20191211122930340_0002.jpg,"Front is FISHc, back is not",yes
59970307,OSCEOLA_ROSE_FISHc_0018_3.jpg_OSCEOLA_ROSE_FISHc_0018_4.jpg,Newer FISHc card,yes
58752879,Kent_Dean_FISHc_015.jpg_Kent_Dean_FISHc_016.jpg,Text on rear printed upside down,no
58688732,Otsego_Bear_SUMM_94.jpeg,,
58688582,VanBuren_North_SUMM_5.jpeg,,
58688586,VanBuren_Bakersons_SUMM_77.jpeg,,
58642605,Alcona_AlconaDam_GROW_Doc0006.jpg,duplicate,
58642606,Alcona_AlconaDam_GROW_Doc0005.jpg,duplicate,
58642607,Alcona_Horseshoe_GROW_Doc0672.jpg,duplicate,
58642608,Alcona_Byron_GROW_Doc0172.jpg,duplicate,
58642609,Alcona_Horseshoe_GROW_Doc0673.jpg,duplicate,
58642610,Alcona_Byron_GROW_Doc0175.jpg,duplicate,
58642611,Alcona_Hubbard_GROW_Doc0991.jpg,duplicate,
58642613,Alcona_Hubbard_GROW_Doc1001.jpg,duplicate,
58642614,Alcona_Hubbard_GROW_Doc0992.jpg,duplicate,
58642616,Alcona_NorthHoist_GROW_Doc0622.jpg,duplicate,
58642618,Alcona_SouthHoist_GROW_Doc0630.jpg,duplicate,
58642630,Cheboygan_WeberLittle_GROW_009.jpg,duplicate,
58642770,Keweenaw_Bailey_GROW_20200313152209706_0002.jpeg,duplicate,
58642771,Keweenaw_Bailey_GROW_20200313152209706_0001.jpeg,duplicate,
58642773,Keweenaw_Bailey_GROW_20200313151302630_0002.jpeg,duplicate,
58642774,Keweenaw_Bailey_GROW_20200313152209706_0003.jpeg,duplicate,
58642776,Keweenaw_FannyHooe_GROW_20200313154820816_0004.jpeg,duplicate,
58642777,Keweenaw_FannyHooe_GROW_20200313154820816_0003.jpeg,duplicate,
58642778,Keweenaw_FannyHooe_GROW_20200313155119435_0002.jpeg,duplicate,
58642779,Keweenaw_FannyHooe_GROW_20200313155119435_0001.jpeg,duplicate,
58642780,Keweenaw_FannyHooe_GROW_20200313155651942_0001.jpeg,duplicate,
58642786,Keweenaw_LacLaBelle_GROW_20200313162155093_0002.jpeg,duplicate,
58642787,Keweenaw_LacLaBelle_GROW_20200313162155093_0003.jpeg,duplicate,
58642788,Keweenaw_LacLaBelle_GROW_20200313162155093_0005.jpeg,duplicate,
58642789,Keweenaw_LacLaBelle_GROW_20200313162155093_0004.jpeg,duplicate,
58642793,Keweenaw_Manganese_GROW_20200313163832765_0001.jpeg,duplicate,
58642823,Oscoda_Loon_GROW_20191210112634423_0001.jpeg,duplicate,
58642824,Oscoda_Loon_GROW_20191210111620367_0001.jpg,duplicate,
