"new_key","lat_dd","long_dd","mdnrid","nhdid"
"11-63",41.96943,-86.22759,"L30766","155637256"
"11-65",41.9536,-86.22926,"L28912","155637322"
"11-66",41.94322,-86.32842,"L26551","155637612"
"11-67",41.94415,-86.25815,"L31214","155637422"
"11-69",41.93721,-86.26481,"L26157","155637441"
"11-7",42.23415,-86.36287,"L25522","152274979"
"11-70",41.91054,-86.2812,"L30689","155637579"
"11-72",41.91897,-86.29512,"L31776","e895cc05-5ffa-4512-a6cd-1ff3d9c7398c"
"11-74",41.91694,-86.30361,"L25160","155637575"
"11-75",41.90283,-86.33077,"L23950","801ec06d-ea9a-48f6-8d8b-758750fd2c9b"
"11-76",41.90583,-86.30503,"L28976","155637648"
"11-8",42.22749,-86.35898,"L29515","152274985"
"11-80",41.90534,-86.26823,"L29886","155637634"
"11-81",41.94999,-86.45537,"L26634","155637457"
"11-83",41.92215,-86.40983,"L27319","155637608"
"11-83.1",41.92224,-86.41497,"L26923","155637601"
"11-86",41.95499,-86.4662,"L24982","155637439"
"11-88",41.89527,-86.22898,"L23429","155637672"
"11-89",41.876254,-86.235789,"L48250",NA
"11-96",41.82096,-86.30992,"L30899","3cf8c25b-07bc-4abb-b41b-321bfbde05f2"
"11-97",41.82068,-86.25707,NA,NA
"12-10",42.04721,-85.02898,"L18754","155636261"
"12-101",41.77054,-84.93648,"L15157","155637803"
"12-105",41.8026,-84.95996,"L21660","155637620"
"12-108",41.79304,-85.02842,"L20471","155637707"
"12-11",42.04582,-85.03176,"L15212","155636260"
"12-112",41.78166,-85.02954,"L22975","155637774"
"12-113",41.77721,-84.9937,"L17156","155637782"
"12-115",41.79443,-84.94815,"L22279","155637662"
"12-117",41.77249,-84.97037,"L19603","155637809"
"12-118",41.77832,-84.97981,"L19395","155637777"
"12-119",41.76042,-85.00721,"L22014","155637897"
"12-12",42.04781,-85.02123,"L48270",NA
"12-120",41.77693,-85.03537,"L17096","155637831"
"12-121",41.76804,-85.03759,"L17862","155637885"
"12-122",41.79582,-85.16342,"L14367","155637728"
"12-123",41.75989,-85.10685,"L15831","{56E27A97-F112-44C4-9A9C-8CEF69210995}"
"12-124",41.7611,-85.06537,"L18958","155637952"
"12-125",41.80777,-85.26287,"L48325",NA
"12-126",41.79971,-85.27037,"L20857","155637814"
"12-128",41.88916,-84.91981,"L20430","{B382E105-8482-4CB8-A557-323E747CA971}"
"12-129",41.78749,-85.28342,"L14605","155637888"
"12-13",42.04582,-85.02093,"L15961","155636253"
"12-130",41.79193,-85.27009,"L22460","155637880"
"12-131",41.78999,-85.18231,"L22090","155637804"
"12-134",41.77388,-85.25842,"L18222","155637978"
"12-136",41.78027,-85.28398,"L18223","155637941"
"12-137",41.76165,-85.18037,"L22313","155638063"
"12-138",41.87499,-84.88065,"L18152","155637140"
"12-139",41.87166,-84.88176,"L14883","155637166"
"12-140",42.07023,-85.27668,"L20643","c058aba5-cb06-4328-a549-74184b8850e8"
"12-141",41.76195,-85.10987,"L15831","{56E27A97-F112-44C4-9A9C-8CEF69210995}"
"12-142",41.96349,-85.08173,"L48272",NA
"12-143",42.03463,-84.97963,"L19242","155636280"
"12-144",42.02682,-84.97827,"L14891","155636323"
"12-145",41.87189,-85.14789,"L19526","155637327"
"12-16",42.04943,-85.01676,"L14710","155636238"
"12-18",42.03166,-85.02204,"L14428","155636317"
"12-2",42.04999,-84.83593,"L13524","155636172"
"12-21",42.00416,-85.0287,"L48271","155636544"
"12-22",42.01001,-85.04936,"L19684","155636427"
"12-23",41.98832,-85.02926,"L21443","155636544"
"12-24",42.04426,-85.20228,"L16744","155636234"
"12-29",42.06499,-85.28204,"L19753","155636264"
"12-32",42.04999,-85.25287,"L17024","155636330"
"12-33",42.05554,-85.25148,"L21386","155636289"
"12-34",42.04304,-85.25148,"L22913","155636374"
"12-38",42.02223,-85.25324,"L19208","155636456"
"12-41",42.00749,-85.28009,"L14590","155636507"
"12-42",42.00221,-85.27981,"L19700","155636536"
"12-43",41.99943,-85.29037,"L15905","155636571"
"12-45",41.9936,-85.28565,"L14781","155636579"
"12-48",41.93471,-84.89898,"L18528","155636729"
"12-50",41.90721,-84.90454,"L20383","155636995"
"12-51",41.973976,-85.032145,"L48323","155636699"
"12-51-GRP",41.97478,-85.02929,"L48323","155636699"
"12-52",41.97416,-85.04926,"L21481","155636580"
"12-53",41.962966,-85.031878,"L16881","155636699"
"12-55",41.9361,-85.03398,"L22830","155636795"
"12-56",41.94999,-85.05009,"L22380","155636696"
"12-57",41.94554,-85.05148,"L22092","155636739"
"12-58",41.939473,-85.038617,"L48322","155636795"
"12-59",41.91027,-85.04759,"L16227","155636956"
"12-62",41.96442,-85.08325,"L48273",NA
"12-66",41.92804,-85.11454,"L16156","155636854"
"12-67",41.92388,-85.09481,"L18578","155636910"
"12-68",41.90721,-85.12704,"L15920","155637061"
"12-69",41.90971,-85.12509,"L16957","155637035"
"12-72",41.90193,-85.10759,"L21805","155637066"
"12-73",41.93138,-85.20759,"L15267","155636978"
"12-76",41.88249,-84.92259,"L17977","{5D546699-849F-4A65-A69E-173675EA878F}"
"12-77",41.87721,-84.92981,"L18655","155637174"
"12-78",41.8811,-84.89981,"L15002","155637096"
"12-82",41.85249,-84.86037,"L16885","155637289"
"12-83",41.8311,-84.87287,"L22386","155637430"
"12-84",41.86249,-84.95092,"L18295","155637293"
"12-85",41.86485,-84.94813,"L18295","155637293"
