subject_id,workflow_id,subject_set_id,Full Subject Set Name,filename_1,filename_2,url_1,url_2,Notes
58746616,17771,93238,SS1 - GROW Double - B First,Otsego_Bear_GROW_104.jpeg,Otsego_Bear_GROW_103.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Bear_GROW_104.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Bear_GROW_103.jpeg,"duplicate
"
59687932,17771,93838,SS2 - GROW Double - B First,Otsego_Bear_GROW_104.jpeg,Otsego_Bear_GROW_103.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/b_first/Otsego_Bear_GROW_104.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/b_first/Otsego_Bear_GROW_103.jpeg,"duplicate
"
58746609,17771,93238,SS1 - GROW Double - B First,Otsego_Bear_GROW_106.jpeg,Otsego_Bear_GROW_105.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Bear_GROW_106.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Bear_GROW_105.jpeg,"duplicate
"
59687931,17771,93838,SS2 - GROW Double - B First,Otsego_Bear_GROW_106.jpeg,Otsego_Bear_GROW_105.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/b_first/Otsego_Bear_GROW_106.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/b_first/Otsego_Bear_GROW_105.jpeg,"duplicate
"
58746610,17771,93238,SS1 - GROW Double - B First,Otsego_Bear_GROW_120.jpeg,Otsego_Bear_GROW_119.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Bear_GROW_120.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Bear_GROW_119.jpeg,"duplicate
"
59687930,17771,93838,SS2 - GROW Double - B First,Otsego_Bear_GROW_120.jpeg,Otsego_Bear_GROW_119.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/b_first/Otsego_Bear_GROW_120.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/b_first/Otsego_Bear_GROW_119.jpeg,"duplicate
"
59070544,17771,93397,SS2 - SUMM Double - B First,Otsego_Bear_SUMM_136.jpeg,Otsego_Bear_SUMM_135.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/b_first/Otsego_Bear_SUMM_136.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/b_first/Otsego_Bear_SUMM_135.jpeg,"duplicate
"
59106837,17771,93445,SS1 - SUMM Double - B First,Otsego_Bear_SUMM_136.jpeg,Otsego_Bear_SUMM_135.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Otsego_Bear_SUMM_136.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Otsego_Bear_SUMM_135.jpeg,"duplicate
"
58746608,17771,93238,SS1 - GROW Double - B First,Otsego_BellMarie_GROW_004.jpeg,Otsego_BellMarie_GROW_003.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_BellMarie_GROW_004.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_BellMarie_GROW_003.jpeg,"duplicate
"
59687929,17771,93838,SS2 - GROW Double - B First,Otsego_BellMarie_GROW_004.jpeg,Otsego_BellMarie_GROW_003.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/b_first/Otsego_BellMarie_GROW_004.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/b_first/Otsego_BellMarie_GROW_003.jpeg,"duplicate
"
