subject_id,orig_subject_id,task,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,data,column_name,url_front,url_back,
72069540,59962610,T8,"[['2', '3']]",2,1,2,2,Second row Number of Fish,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_CARTER_GROW_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_CARTER_GROW_0004_2.jpeg,
72069540,59962610,T20,[['13']],1,1,13,NA,Fourth row Number of Fish,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_CARTER_GROW_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_CARTER_GROW_0004_2.jpeg,
72069540,59962610,T21,[['5-6.4']],1,1,5-6.4,NA,Fourth row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_CARTER_GROW_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_CARTER_GROW_0004_2.jpeg,
72069540,59962610,T22,[['5.7']],1,1,5.7,NA,Fourth row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_CARTER_GROW_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_CARTER_GROW_0004_2.jpeg,
72069540,59962610,T26,[['5']],1,1,5,NA,5th row Number of Fish,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_CARTER_GROW_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_CARTER_GROW_0004_2.jpeg,
72069540,59962610,T27,[['5.8-6.1']],1,1,5.8-6.1,NA,5th row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_CARTER_GROW_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_CARTER_GROW_0004_2.jpeg,
72069540,59962610,T28,[['6']],1,1,6,NA,5th row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_CARTER_GROW_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_CARTER_GROW_0004_2.jpeg,
72069554,59962627,T21,[['8.0']],1,1,8,8,Fourth row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_FINE_GROW_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_FINE_GROW_0002_2.jpeg,
72069561,59962643,T21,"[['8.8-11.5', '8.9-11.5']]",2,1,8.8-11.5,8.8-11.5,Fourth row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_GUN_GROW_0003_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_GUN_GROW_0003_2.jpeg,
72069587,59962674,T14,"[['3', '9', '1']]",3,1,3,3,Third row Number of Fish,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_MIDDLE4N8WSECS_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_MIDDLE4N8WSECS_GROW_0001_2.jpeg,
72069594,59962683,T26,[['9']],1,1,9,9,5th row Number of Fish,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_PINE1N10W5678_GROW_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_PINE1N10W5678_GROW_0004_2.jpeg,
72069594,59962683,T27,[['9.8-12.2']],1,1,9.8-12.2,9.8-12.2,5th row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_PINE1N10W5678_GROW_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_PINE1N10W5678_GROW_0004_2.jpeg,
72069594,59962683,T28,[['11.4']],1,1,11.4,11.4,5th row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_PINE1N10W5678_GROW_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_PINE1N10W5678_GROW_0004_2.jpeg,
72069594,59962683,T32,[['8']],1,1,8,8,6th row Number of Fish,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_PINE1N10W5678_GROW_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_PINE1N10W5678_GROW_0004_2.jpeg,
72069594,59962683,T33,[['11.6-13.6']],1,1,11.6-13.6,11.6-13.6,6th row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_PINE1N10W5678_GROW_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_PINE1N10W5678_GROW_0004_2.jpeg,
72069594,59962683,T34,[['12.2']],1,1,12.2,12.2,6th row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_PINE1N10W5678_GROW_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_PINE1N10W5678_GROW_0004_2.jpeg,
72069594,59962683,T38,[['3']],1,1,3,3,7th row Number of Fish,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_PINE1N10W5678_GROW_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_PINE1N10W5678_GROW_0004_2.jpeg,
72069594,59962683,T39,[['12.1-13.9']],1,1,12.1-13.9,12.1-13.9,7th row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_PINE1N10W5678_GROW_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_PINE1N10W5678_GROW_0004_2.jpeg,
72069594,59962683,T40,[['13.2']],1,1,13.2,13.2,7th row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_PINE1N10W5678_GROW_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_PINE1N10W5678_GROW_0004_2.jpeg,
72069594,59962683,T44,[['1']],1,1,1,1,8th row Number of Fish,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_PINE1N10W5678_GROW_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_PINE1N10W5678_GROW_0004_2.jpeg,
72069594,59962683,T45,[['14.8']],1,1,14.8,14.8,8th row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_PINE1N10W5678_GROW_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_PINE1N10W5678_GROW_0004_2.jpeg,
