subject_id,new_key,lakename,county,url_front,url_back,
82937324,12-113,SILVER,BRANCH,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/double/BRANCH_SILVER_GROW_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/double/BRANCH_SILVER_GROW_0002_2.jpeg,matched by TRS and NAME 
82937325,12-113,SILVER,BRANCH,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/double/BRANCH_SILVER_GROW_0003_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/double/BRANCH_SILVER_GROW_0003_2.jpeg,matched by TRS and NAME 
82937326,12-113,SILVER,BRANCH,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/double/BRANCH_SILVER_GROW_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/double/BRANCH_SILVER_GROW_0004_2.jpeg,matched by TRS and NAME 
59962949,45-49,LITTLETRAVERSE,LEELANAU,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/Leelanau_Solon_GROW_015.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/Leelanau_Solon_GROW_016.jpg,name was incorrect
59962950,45-64,LEELANAUNORTH,LEELANAU,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/Leelanau_Solon_GROW_009.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/Leelanau_Solon_GROW_010.jpg,name was incorrect
59962951,45-49,LITTLETRAVERSE,LEELANAU,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/Leelanau_Solon_GROW_031.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/Leelanau_Solon_GROW_032.jpg,name was incorrect
59962952,45-49,LITTLETRAVERSE,LEELANAU,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/Leelanau_Solon_GROW_017.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/Leelanau_Solon_GROW_018.jpg,name was incorrect
82937327,12-55,SOUTH,BRANCH,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/double/BRANCH_SOUTH_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/double/BRANCH_SOUTH_GROW_0001_2.jpeg,matched by TRS and NAME 
82937328,NA,SOUTH,BRANCH,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/double/BRANCH_SOUTH_GROW_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/double/BRANCH_SOUTH_GROW_0002_2.jpeg,includes two lakes 
58753924,NA,SPRINGBROOK,CHARLEVOIX,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Charlevoix_Springbrook_001_GROW_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Charlevoix_Springbrook_001_GROW_0002.jpg,looks like this is a stream site
59962972,L16163,STANDISHMILLPOND,LENAWEE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/Lenawee_StandishMillPond_GROW_004.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/Lenawee_StandishMillPond_GROW_005.jpg,MDNRID L16163
58642855,NA,STJOHNS,STCLAIR,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/StClair_StJohns_GROW_2.jpeg,NA,around Lake St Clair; not inland lake
59964506,66-122,TEMPLE,ONTONAGON,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ONTONAGON_TANLUND_GROW_0001_1.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ONTONAGON_TANLUND_GROW_0001_2.jpg,looks like it is a typo should be 46N; there is a temple lake L37566
58642818,L9882,TEAHAN,LIVINGSTON,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Livingston_Teahan_GROW_004.jpg,NA,MDNRID L9882
59963026,L9882,TEAHAN,LIVINGSTON,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/Livingston_Teahan_GROW_013.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/Livingston_Teahan_GROW_014.jpg,
59963404,52-1246,TOURISTPARKBASIN,MARQUETTE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/Marquette_TouristParkBasin_GROW_002.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/Marquette_TouristParkBasin_GROW_003.jpg,Humphries this is Marquette #3; there is a tourist park dam at the outlet
58642817,47-558,TROUT,LIVINGSTON,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Livingston_Trout_GROW_007.jpg,NA,looks like it is a typo; should be section 01; in google maps; no name in NHD; Humphrise name is Island Lake L19568
59963027,47-558,TROUT,LIVINGSTON,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/Livingston_Trout_GROW_012.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/Livingston_Trout_GROW_013.jpg,Trout Lake in google maps; no name in NHD; Humphrise name is Island Lake L19568
58642766,41-764,VERSLUIS,KENT,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_Versluis_GROW_001.jpg,NA,MDNRID L21661; matched based on TRS and description of location
58642772,41-764,VERSLUIS,KENT,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_Versluis_GROW_002.jpg,NA,MDNRID L21661; matched based on TRS and description of location
58746452,L28159,WESTWALKER,OTTAWA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Ottawa_WestWalker_GROW_002.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Ottawa_WestWalker_GROW_001.jpeg,MDNRID L28159; lake has no name but is next to the West Walker Sportsmans club
