subject_id,metadata,filename,T6,T8,T9,T10,T12,county,lakename,TR,matching,new key,Notes
58687398,"{""id"":""Gladwin_Streaked_SUMM_009.jpg_Gladwin_Streaked_SUMM_010.jpg"",""#image_url1"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gladwin_Streaked_SUMM_009.jpg"",""#image_url2"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gladwin_Streaked_SUMM_010.jpg""}",Gladwin_Streaked_SUMM_009.jpg_Gladwin_Streaked_SUMM_010.jpg,,20N,2W,16,L. N. Allison,Gladwin,STREAKED,T20NR2W,STREAKED  Gladwin T20NR2W,26-35,
58687402,"{""id"":""Gladwin_Streaked_SUMM_011.jpg_Gladwin_Streaked_SUMM_012.jpg"",""#image_url1"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gladwin_Streaked_SUMM_011.jpg"",""#image_url2"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gladwin_Streaked_SUMM_012.jpg""}",Gladwin_Streaked_SUMM_011.jpg_Gladwin_Streaked_SUMM_012.jpg,,20N,2W,16,C.M. M. Taube F. Dunkel,Gladwin,STREAKED,T20NR2W,STREAKED  Gladwin T20NR2W,26-35,
58754387,"{""id"":""Gladwin_Streaked_GROW_013.jpg_Gladwin_Streaked_GROW_014.jpg"",""#image_url1"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Streaked_GROW_013.jpg"",""#image_url2"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Streaked_GROW_014.jpg""}",Gladwin_Streaked_GROW_013.jpg_Gladwin_Streaked_GROW_014.jpg,,20N,2W,16,L. Stankowski D. R. Peterson,Gladwin,STREAKED,T20NR2W,STREAKED  Gladwin T20NR2W,26-35,
58754388,"{""id"":""Gladwin_Streaked_GROW_045.jpg_Gladwin_Streaked_GROW_046.jpg"",""#image_url1"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Streaked_GROW_045.jpg"",""#image_url2"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Streaked_GROW_046.jpg""}",Gladwin_Streaked_GROW_045.jpg_Gladwin_Streaked_GROW_046.jpg,"02/09/87, /86",20N,02W,16,"R. E. Shepherd, Jeffery E. Smiddy",Gladwin,STREAKED,T20NR2W,STREAKED  Gladwin T20NR2W,26-35,
58642966,"{""id"":""Gladwin_Trout_LIMN_025.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/LIMN/single/Gladwin_Trout_LIMN_025.jpg""}",Gladwin_Trout_LIMN_025.jpg,07/11/85,20N,02W,"8, 9",R. Shepherd,Gladwin,TROUT,T20NR2W,TROUT  Gladwin T20NR2W,26-32,
58642969,"{""id"":""Gladwin_Trout_LIMN_031.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/LIMN/single/Gladwin_Trout_LIMN_031.jpg""}",Gladwin_Trout_LIMN_031.jpg,,20N N,2 W,2,"T. Murphy, A. Thomas",Gladwin,TROUT,T20NR2W,TROUT  Gladwin T20NR2W,26-32,
58687400,"{""id"":""Gladwin_Trout_SUMM_032.jpg_Gladwin_Trout_SUMM_033.jpg"",""#image_url1"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gladwin_Trout_SUMM_032.jpg"",""#image_url2"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gladwin_Trout_SUMM_033.jpg""}",Gladwin_Trout_SUMM_032.jpg_Gladwin_Trout_SUMM_033.jpg,,20N,2W,"8,9 9",Southwestern Party-R.C. R. C. Ball,Gladwin,TROUT,T20NR2W,TROUT  Gladwin T20NR2W,26-32,
58754386,"{""id"":""Gladwin_Trout_GROW_038.jpg_Gladwin_Trout_GROW_039.jpg"",""#image_url1"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Trout_GROW_038.jpg"",""#image_url2"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Trout_GROW_039.jpg""}",Gladwin_Trout_GROW_038.jpg_Gladwin_Trout_GROW_039.jpg,,20N,2W,8,"Don Peterson, Mrozinski, Kenneth Lake",Gladwin,TROUT,T20NR2W,TROUT  Gladwin T20NR2W,26-32,
58754389,"{""id"":""Gladwin_Trout_GROW_034.jpg_Gladwin_Trout_GROW_035.jpg"",""#image_url1"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Trout_GROW_034.jpg"",""#image_url2"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Trout_GROW_035.jpg""}",Gladwin_Trout_GROW_034.jpg_Gladwin_Trout_GROW_035.jpg,Date Prepared: 01/22/82,20N,2W,"8, 9","Lake, Kalling C. Jeffery",Gladwin,TROUT,T20NR2W,TROUT  Gladwin T20NR2W,26-32,
58754390,"{""id"":""Gladwin_Trout_GROW_042.jpg_Gladwin_Trout_GROW_043.jpg"",""#image_url1"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Trout_GROW_042.jpg"",""#image_url2"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Trout_GROW_043.jpg""}",Gladwin_Trout_GROW_042.jpg_Gladwin_Trout_GROW_043.jpg,12-1-71,20N,2W,8,"Peterson, DFB K. Lake",Gladwin,TROUT,T20NR2W,TROUT  Gladwin T20NR2W,26-32,
