"subject_id","begin_date_day","begin_date_month","begin_date_year","end_date_day","end_date_month","end_date_year","url_front","url_back","comment"
58642668,"12","June","1990","13","June","1990","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Gogebic_Loon_GROW_039.jpg",NA,NA
58642669,"8","June","1983",NA,"June",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Gogebic_Katherine_GROW_004.jpg",NA,NA
58642670,"1","July","1977","1","July","1977","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Gogebic_Long_GROW_002.jpg",NA,NA
58642671,"8","June","1982","10","June","1982","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Gogebic_Marion_GROW_004.jpg",NA,NA
58642672,"28","July","1987","28","July","1987","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Gogebic_Marion_GROW_156.jpg",NA,NA
58642674,"28","July","1987","28","July",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Gogebic_Marion_GROW_157.jpg",NA,NA
58642675,"11","June","1991","12","June","1991","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Gogebic_Mountain_GROW_005.jpg",NA,NA
58642676,NA,"June","1978",NA,"June","1978","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Gogebic_Moon_GROW_003.jpg",NA,NA
58642677,"11","June","1990","15","June","1990","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/GrandTraverse_Arbutus_GROW_097.jpg",NA,NA
58642678,NA,"July","1978",NA,"July","1978","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Gogebic_Thrush_GROW_002.jpg",NA,NA
58642679,NA,"May","1977",NA,"May","1977","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Houghton_Bob_31-585_1977_GROW_001_01.jpg",NA,NA
58642680,"3","August","1990",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/GrandTraverse_Dollar_GROW_009.jpg",NA,NA
58642684,"29","January","1993","29",NA,"1993","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Houghton_Bob_31-585_1992_GROW_001_02.jpg",NA,NA
58642685,"11","September","1979","13","September","1979","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Houghton_Torch_GROW_003.jpg",NA,NA
58642686,"4","August","1988","5","August","1988","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Houghton_Portage_GROW_043.jpg",NA,NA
58642687,NA,"May","1977",NA,"May","1977","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Houghton_Bob_GROW_005.jpg",NA,NA
58642688,"4","August","1988","5","August","1988","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Houghton_Portage_GROW_044.jpg",NA,NA
58642689,"2","August","1988","3","August","1988","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Houghton_Torch_GROW_019.jpg",NA,NA
58642690,"2","August","1988","3","August","1988","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Houghton_Torch_GROW_020.jpg",NA,NA
58642691,"13","May","1986",NA,"May",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ingham_Tihart_GROW_002.jpg",NA,NA
58642693,"28","September","1978","28","September","1978","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ionia_PortlandImpoundment_GROW_001.jpg",NA,NA
58642694,"24","September","1996",NA,"September",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ionia_Sessions_GROW_001.jpg",NA,NA
58642695,"27","September","1978","28","September","1978","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ionia_Morrison_GROW_003.jpg",NA,NA
58642696,"12","September","1995","14","September","1995","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ionia_Sessions_GROW_002.jpg",NA,NA
58642697,NA,"September","1994",NA,"September","1994","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ionia_Sessions_GROW_003.jpg",NA,NA
58642698,NA,"April","1994",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ionia_Sessions_GROW_004.jpg",NA,NA
58642699,"5","October","1993","6","October","1993","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ionia_Sessions_GROW_005.jpg",NA,NA
58642700,"2","November","1988","3","November","1988","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iosco_Tawas_GROW_021.jpg",NA,NA
58642701,"6","April","1990",NA,"April",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ionia_Sessions_GROW_006.jpg",NA,NA
58642702,"10","April","1990",NA,"April",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ionia_Sessions_GROW_007.jpg",NA,NA
58642703,"12","September","1989",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Camp_GROW_077.jpg",NA,NA
58642705,"29","September","1987","29","September","1987","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Deadmans_GROW_067.jpg",NA,NA
58642706,"29","September","1987",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Deadmans_GROW_066.jpg",NA,NA
58642707,"27","October","1987",NA,"October","1987","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Ellen_GROW_001.jpg",NA,NA
58642708,"11","September","1995",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Emily_GROW_021.jpg",NA,NA
58642709,"12","October","1987","15","October","1987","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Fire_GROW_003.jpg",NA,NA
58642711,"15","September","1988",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Hagerman_GROW_076.jpg",NA,NA
58642712,"13","June","1994",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Indian_GROW_047.jpg",NA,NA
58642713,"19","June","1989",NA,"June",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Fire_GROW_012.jpg",NA,NA
58642714,"17","April","1986",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Indian_GROW_003.jpg",NA,NA
58642715,"16","September","1996","16","September","1996","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Iron_GROW_070.jpg",NA,NA
58642716,"13","June","1994",NA,"June",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Indian_GROW_048.jpg",NA,NA
58642717,"7","September",NA,"13","September",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_MichigammeReservoir_GROW_064.jpg",NA,NA
58642718,"15","September","1989",NA,"September",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Ottawa_GROW_110.jpg",NA,NA
58642719,"13","October","1987","13","October","1987","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_PaintPond_GROW_023.jpg",NA,NA
58642720,"16","May","1989",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Smoky_GROW_072.jpg",NA,NA
58642723,"31","October","1991",NA,"October",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Isabella_Herrick_GROW_003.jpg",NA,NA
58642724,"31","May","1988","31","May","1988","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Snipe_GROW_030.jpg",NA,NA
58642725,"18","October","1956","7",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Jackson_Clear_GROW_003.jpg",NA,NA
58642726,"16","August","1989",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Isabella_Halls_GROW_099.jpg",NA,NA
58642727,"18","September","1956",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Jackson_Clear_GROW_004.jpg",NA,NA
58642728,"6","June","1988",NA,"June",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Jackson_Crispell_GROW_131.jpg",NA,NA
58642729,"24","May","1988","24","May","1988","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Jackson_Crispell_GROW_132.jpg",NA,NA
58642730,"24","May",NA,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Jackson_Crispell_GROW_133.jpg",NA,NA
58642731,"6","June","1984",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kalamazoo_Eagle_GROW_014.jpg",NA,NA
58642732,"27","September","1984","27","September","1984","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kalamazoo_Eagle2S_9W_S2_GROW_002.jpg",NA,NA
58642733,"20","June","1967",NA,"June",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kalkaska_Bear_GROW_003.jpg",NA,NA
58642734,"12","August","1982","12","August","1982","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kalkaska_GuernseyBig_GROW_005.jpg",NA,NA
58642736,"6","February","1970","6","February","1970","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kalkaska_BlueBig_GROW_031.jpg",NA,NA
58642737,"13","May","1969","13","May","1969","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kalkaska_GuernseyBig_GROW_016.jpg",NA,NA
58642738,"30","October","1969","30","October","1969","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kalkaska_Manistee_GROW_002.jpg",NA,NA
58642739,"26","January","1968","26","January","1968","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kalkaska_Perch_GROW_002.jpg",NA,NA
58642740,"7","January","1970",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kalkaska_Rainbow_GROW_002.jpg",NA,NA
58642741,"20","January","1970",NA,"January",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kalkaska_TwinBig_GROW_003.jpg",NA,NA
58642743,"21","June","1994","21","June","1994","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_Lime_GROW_002.jpg",NA,NA
58642744,"2","May","1978",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_Dean_GROW_003.jpg",NA,NA
58642745,"21","June","1994",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_Lime_GROW_003.jpg",NA,NA
58642746,"27","October","1987",NA,"October",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_Battjes_GROW_003.jpg",NA,NA
58642747,"9","June","1993","9","June","1993","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_Bass_GROW_103.jpg",NA,NA
58642748,"19","September","1986","19","September","1986","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_Lime_GROW_004.jpg",NA,NA
58642749,"14","November","1978","22","November","1978","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_Lime_GROW_006.jpg",NA,NA
58642750,"19","July","1990",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_Lime_GROW_064.jpg",NA,NA
58642751,"27","June","1995",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_Lime_GROW_060.jpg",NA,NA
58642752,"26","September","1995","26","September","1995","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_Long_GROW_001.jpg",NA,NA
58642754,NA,"July","1993",NA,"July",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_Marjella_GROW_035.jpg",NA,NA
58642755,"9","July","1993",NA,"July",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_Marjella_GROW_036.jpg",NA,NA
58642756,"25","May","1995",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_Myers_GROW_003.jpg",NA,NA
58642757,"2","May","1978",NA,"May",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_PineIslandBig_GROW_002.jpg",NA,NA
58642759,"9","August","1986","9","August","1986","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_Myers_GROW_006.jpg",NA,NA
58642765,"1","August","1978","1","August","1978","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_PineIslandLittle_GROW_002.jpg",NA,NA
58642766,"23","October","1990","23","October","1990","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_Versluis_GROW_001.jpg",NA,NA
58642767,"2","October","1978","3","October","1978","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_PineIslandBig_GROW_003.jpg",NA,NA
58642768,"6","July","1990",NA,"July",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_Spring_GROW_046.jpg",NA,NA
58642769,"29","August","1980","25","October","1980","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_Pine_GROW_002.jpg",NA,NA
58642770,"29","August","1980","30","August","1980","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_Bailey_GROW_20200313152209706_0002.jpeg",NA,NA
58642771,"16","May",NA,"17","May",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_Bailey_GROW_20200313152209706_0001.jpeg",NA,NA
58642772,"15","March","1980",NA,"March",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_Versluis_GROW_002.jpg",NA,NA
58642773,"14","June",NA,"15","June",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_Bailey_GROW_20200313151302630_0002.jpeg",NA,NA
58642774,"29","August",NA,"30","August",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_Bailey_GROW_20200313152209706_0003.jpeg",NA,NA
58642775,NA,"August","1977",NA,"August","1977","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_FannyHooe_GROW_002.jpg",NA,NA
58642776,"18","May","1995",NA,"May",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_FannyHooe_GROW_20200313154820816_0004.jpeg",NA,NA
58642777,"17","May","1995","18","May","1995","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_FannyHooe_GROW_20200313154820816_0003.jpeg",NA,NA
58642778,"13","August",NA,"14","August",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_FannyHooe_GROW_20200313155119435_0002.jpeg",NA,NA
58642779,"19","October","1980",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_FannyHooe_GROW_20200313155119435_0001.jpeg",NA,NA
58642780,"3","June","1982","3","June","1982","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_FannyHooe_GROW_20200313155651942_0001.jpeg",NA,NA
58642781,NA,"August","1977",NA,"August",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_FannyHooe_GROW_20200313155651942_0002.jpeg",NA,NA
58642783,NA,"July","1977",NA,"July",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_Gratiot_GROW_004.jpg",NA,NA
58642784,NA,"July","1977",NA,"July","1977","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_Gratiot_GROW_20200313161432325_0001.jpeg",NA,NA
58642785,NA,"August","1977",NA,"August","1977","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_LacLaBelle_GROW_002.jpg",NA,NA
58642786,"6","July","1995","8","July","1995","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_LacLaBelle_GROW_20200313162155093_0002.jpeg",NA,NA
58642787,"9","August","1994",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_LacLaBelle_GROW_20200313162155093_0003.jpeg",NA,NA
58642788,"9","August","1994","9","August","1994","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_LacLaBelle_GROW_20200313162155093_0005.jpeg",NA,NA
58642789,"6","July","1990","8","July","1990","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_LacLaBelle_GROW_20200313162155093_0004.jpeg",NA,NA
58642790,NA,"August","1977",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_LacLaBelle_GROW_20200313162740320_0001.jpeg",NA,NA
