subject_id,data.aligned_text,data.consensus_score,data.consensus_text,data,column_name,front,back,comments
59966341,"[['', 'FP', 'FP'], ['FP4125', '1425', '4125']]",1.5,FP FP4125,FP4125,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BRANCH_SOUTH_FISHc_0008_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BRANCH_SOUTH_FISHc_0008_2.jpeg,
59966344,"[['PP', '', 'FP'], ['413', 'FP413', '413']]",1.5,PP 413,FP413,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BRANCH_SOUTH_FISHc_0013_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/BRANCH_SOUTH_FISHc_0013_2.jpeg,
59966370,"[['S38-96', 'S38', 'S38-96', 'S38-96'], ['', '-', '', ''], ['', '96', '', '']]",1.666666667,S38-96 - 96,S38-96,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/CALHOUN_DUCK_FISHc_0009_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/CALHOUN_DUCK_FISHc_0009_2.jpeg,
59966371,"[['S', '', ''], ['38-97', 'S38-97', 'S38-97']]",1.5,S S38-97,S38-97,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/CALHOUN_DUCK_FISHc_0010_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/CALHOUN_DUCK_FISHc_0010_2.jpeg,
59966461,"[['S', 'S38-85', 'S38-85', 'S38-38'], ['38', '', '', ''], ['-', '', '', ''], ['85', '', '', '']]",1.25,S38-85 38 - 85,S38-85,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/CALHOUN_WABASCON_FISHc_0005_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/CALHOUN_WABASCON_FISHc_0005_2.jpeg,
59966497,"[['15', '', ''], ['-', '', ''], ['240', '15-240-50', '15-240-50'], ['-', '', ''], ['50', '', '']]",1.2,15 - 15-240-50 - 50,15-240-50,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/CASS_BALDWIN_FISHc_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/CASS_BALDWIN_FISHc_0001_2.jpeg,
59966501,"[['', '7', ''], ['', '-', ''], ['7-232-50', '232', '7-232-50'], ['', '-', ''], ['', '50', '']]",1.2,7 - 7-232-50 - 50,7-232-50,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/CASS_BALDWIN_FISHc_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/CASS_BALDWIN_FISHc_0002_2.jpeg,
59966554,"[['S38', 'S38-68', 'S38-68', 'S38-68'], ['-', '', '', ''], ['68', '', '', '']]",1.666666667,S38-68 - 68,S38-68,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/CASS_CHRISTIAN_FISHc_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/CASS_CHRISTIAN_FISHc_0004_2.jpeg,
59966555,"[['S38-70', 'S38', 'S38-70', 'S38-70'], ['', '-', '', ''], ['', '70', '', '']]",1.666666667,S38-70 - 70,S38-70,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/CASS_CHRISTIAN_FISHc_0006_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/CASS_CHRISTIAN_FISHc_0006_2.jpeg,
59966597,"[['14', '14', ''], ['-', '', ''], ['55', '-55', '14-55']]",1.333333333,14 - 55,14-55,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/CASS_EAGLE_FISHc_0003_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/CASS_EAGLE_FISHc_0003_2.jpeg,
