subject_id,data.aligned_text,data.consensus_score,data.consensus_text,data,column_name,front,back,comments,
59965019,"[['9:30', '9:30', '9:30AM-9:00AM'], ['AM', 'am', ''], ['-', '-', ''], ['9:00', '9:00', ''], ['AM', 'am', '']]",1.6,9:30 AM - 9:00 AM,9:30 AM - 9:00 AM,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_SKEGEMOG_FISHc_0016_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_SKEGEMOG_FISHc_0016_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_SKEGEMOG_FISHc_0016_2.jpeg,
59965020,"[['3', '3', '3:PM-8:45'], ['p.m.', 'PM', 'AM'], ['-', '-', ''], ['8:45', '8:45', ''], ['a.m.', 'Am', '']]",1.6,3 p.m. - 8:45 a.m.,3 p.m. - 8:45 a.m.,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_SKEGEMOG_FISHc_0014_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_SKEGEMOG_FISHc_0014_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_SKEGEMOG_FISHc_0014_2.jpeg,
59965024,"[['11:45AM-8:45AM', '11:45', '11:45'], ['', 'am', 'AM'], ['', '-', '-'], ['', '8:45', '8:45'], ['', 'am', 'AM']]",1.6,11:45 am - 8:45 am,11:45 am - 8:45 am,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_SKEGEMOG_FISHc_0022_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_SKEGEMOG_FISHc_0022_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_SKEGEMOG_FISHc_0022_2.jpeg,
59965030,"[['11:15', '11:15', '11:15AM-9:15AM'], ['AM', 'A.M.', ''], ['-', '-', ''], ['9:15', '9:15', ''], ['AM', 'A.M.', '']]",1.6,11:15 AM - 9:15 AM,11:15 AM - 9:15 AM,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_SKEGEMOG_FISHc_0029_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_SKEGEMOG_FISHc_0029_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_SKEGEMOG_FISHc_0029_2.jpeg,
59965031,"[['11:00', '11:00am', '11:00'], ['am', 'to', 'A.M.'], ['-', '', '-'], ['9:00', '9:00am', '9:00'], ['am', '', 'A.M.']]",1.6,11:00 am - 9:00 am,11:00 am - 9:00 am,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_SKEGEMOG_FISHc_0028_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_SKEGEMOG_FISHc_0028_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_SKEGEMOG_FISHc_0028_2.jpeg,
59965071,"[['4:30', '4:30', '4:30PM-11AM'], ['P.M.', 'PM', ''], ['-', '-', ''], ['11', '11', ''], ['A.M.', 'AM', '']]",1.6,4:30 P.M. - 11 A.M.,4:30 P.M. - 11 A.M.,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_TORCH_FISHc_0026_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_TORCH_FISHc_0026_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_TORCH_FISHc_0026_2.jpeg,
59965072,"[['1:30', '1:30', ''], ['p.m.', 'PM', ''], ['-', '-', ''], ['10:30', '10:30', '1:30PM-10:30AM'], ['a.m.', 'AM', '']]",1.6,1:30 p.m. - 10:30 a.m.,1:30 p.m. - 10:30 a.m.,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_TORCH_FISHc_0024_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_TORCH_FISHc_0024_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_TORCH_FISHc_0024_2.jpeg,
59965098,"[['3.30pm', '3:30', '3:30'], ['', 'pm', 'p.m.'], ['-', '-', '-'], ['4am', '4:00', '4'], ['', 'pm', 'p.m.']]",1.6,3:30 pm - 4am pm,3:30 pm - 4am pm,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_TORCH_FISHc_0052_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_TORCH_FISHc_0052_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_TORCH_FISHc_0052_2.jpeg,
59965101,"[['3:15', '3:15', '3:15pm-3pm'], ['PM', 'p.m.', ''], ['-', '-', ''], ['3', '3', ''], ['PM', 'p.m.', '']]",1.6,3:15 PM - 3 PM,3:15 PM - 3 PM,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_TORCH_FISHc_0051_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_TORCH_FISHc_0051_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_TORCH_FISHc_0051_2.jpeg,
59965115,"[['11', '11AM-6AM', '11'], ['AM.', '', 'AM'], ['-', '', '-'], ['6', '', '6'], ['AM.', '', 'AM']]",1.6,11 AM. - 6 AM.,11 AM. - 6 AM.,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_TORCH_FISHc_0070_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_TORCH_FISHc_0070_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_TORCH_FISHc_0070_2.jpeg,
