subject_id,begin_date_day,begin_date_month,begin_date_year,end_date_day,end_date_month,end_date_year,front,back,notes
59966598,20,September,NA,21,September,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/CASS_EAGLE_FISHc_0005_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/CASS_EAGLE_FISHc_0005_2.jpeg,
59966760,2,July,NA,NA,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Kalamazoo_Long_FISHc_075.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Kalamazoo_Long_FISHc_076.jpg,
59967046,18,August,NA,19,August,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Livingston_Silver_FISHc_052.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Livingston_Silver_FISHc_053.jpg,
59967056,19,August,NA,20,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Livingston_Silver_FISHc_066.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Livingston_Silver_FISHc_067.jpg,
59967543,NA,NA,1949,NA,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Mackinac_ManistiqueSouth_FISHc_142.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Mackinac_ManistiqueSouth_FISHc_143.jpg,
59967780,15,September,NA,NA,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Marquette_Brocky_FISHc_080.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Marquette_Brocky_FISHc_081.jpg,
59967781,16,September,NA,NA,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Marquette_Brocky_FISHc_082.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Marquette_Brocky_FISHc_083.jpg,
59967793,7,July,NA,8,July,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Marquette_Chabeneau_FISHc_026.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Marquette_Chabeneau_FISHc_027.jpg,
59967795,7,July,NA,8,July,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Marquette_Chabeneau_FISHc_030.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Marquette_Chabeneau_FISHc_031.jpg,
59967859,17,September,1963,NA,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Marquette_Engmans_FISHc_013.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Marquette_Engmans_FISHc_014.jpg,
59968557,20,October,NA,21,October,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Mecosta_Chippewa_FISHc_044.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Mecosta_Chippewa_FISHc_045.jpg,
59969330,30,March,NA,1,April,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/MUSKEGON_MUSKEGON_FISHc_0053_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/MUSKEGON_MUSKEGON_FISHc_0053_2.jpeg,
59969334,19,August,NA,20,August,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/MUSKEGON_MUSKEGON_FISHc_0059_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/MUSKEGON_MUSKEGON_FISHc_0059_2.jpeg,
59969442,NA,NA,1952,NA,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/NEWAYGO_CRYSTAL_FISHc_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/NEWAYGO_CRYSTAL_FISHc_0001_2.jpeg,
59969581,7,April,NA,10,April,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/NEWAYGO_HARDY_FISHc_0099_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/NEWAYGO_HARDY_FISHc_0099_2.jpeg,
59969590,30,May,NA,31,May,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/NEWAYGO_HARDY_FISHc_0108_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/NEWAYGO_HARDY_FISHc_0108_2.jpeg,
59969637,NA,NA,NA,NA,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/NEWAYGO_KIMES_FISHc_0005_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/NEWAYGO_KIMES_FISHc_0005_2.jpeg,
61361422,NA,NA,NA,NA,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/FISHc/double/WASHTENAW_BRUIN_FISHc_0007_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/FISHc/double/WASHTENAW_BRUIN_FISHc_0007_2.jpeg,
61361655,29,June,NA,30,June,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/FISHc/double/WASHTENAW_WALSH_FISHc_0003_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/FISHc/double/WASHTENAW_WALSH_FISHc_0003_2.jpeg,
61361660,26,June,NA,30,June,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/FISHc/double/WASHTENAW_WALSH_FISHc_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/FISHc/double/WASHTENAW_WALSH_FISHc_0002_2.jpeg,
