subject_id,data.aligned_text,data.consensus_score,data.consensus_text,data,column_name,front,back
58753059,"[[""3'-5'"", ""3'"", ""3-5'""], ['', '-', ''], ['', ""5'"", '']]",1,3'-5' - 5',3-5 feet,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Keweenaw_Bailey_FISHc_013.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Keweenaw_Bailey_FISHc_014.jpg
58753064,"[[""3'-9'"", ""3-9'"", '3’', ""3'""], ['', '', '-', '-'], ['', '', '9’', ""9'""]]",1.333333333,3'-9' - 9’,3-9 feet,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Keweenaw_Bailey_FISHc_017.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Keweenaw_Bailey_FISHc_018.jpg
58753071,"[[""4-7'"", '4', '4-7'], ['', '-', ''], ['', '7', ''], ['', 'Ft.', 'Ft.']]",1.25,4-7' - 7 Ft.,4-7 feet,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Keweenaw_Clear_FISHc_006.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Keweenaw_Clear_FISHc_007.jpg
58753082,"[[""4-25'"", '4', ""4-25'"", '4-25'], ['', '-', '', 'ft'], ['', ""25'"", '', '']]",1.333333333,4-25' - 25',4-25 feet,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Keweenaw_FannyHooe_FISHc_052.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Keweenaw_FannyHooe_FISHc_053.jpg
58753127,"[[""5'-11'"", '5', ""5-11'"", ""5'-11'""], ['', 'ft', '', ''], ['', '-', '', ''], ['', '11', '', ''], ['', 'ft', '', '']]",1.2,5'-11' ft - 11 ft,5-11 feet,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Keweenaw_LacLaBelle_FISHc_021.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Keweenaw_LacLaBelle_FISHc_022.jpg
58753129,"[['5’', ""5'"", '', '5'], ['', '', '', 'ft'], ['-', '-', '', '-'], ['30’', ""30'"", ""5'-30'"", '30'], ['', '', '', 'ft']]",1.4,5’ ft - 30’ ft,5-30 feet,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Keweenaw_LacLaBelle_FISHc_025.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Keweenaw_LacLaBelle_FISHc_026.jpg
58753163,"[['8', ""8-15'."", '8-15', ""8-15'""], ['-', '', 'FT', ''], [""15'."", '', '', '']]",1,8 - 15'.,8-15 feet,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Keweenaw_Manganese_FISHc_084.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Keweenaw_Manganese_FISHc_085.jpg
58753173,"[[""8-15'."", ""8-15'."", ""8-15'"", '8'], ['', '', '', '-'], ['', '', '', '15']]",1.333333333,8-15'. - 15,8-15 feet,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Keweenaw_Manganese_FISHc_106.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Keweenaw_Manganese_FISHc_107.jpg
58753191,"[[""1'-7'"", ""1'-7'"", '1', ""1'""], ['', '', 'ft', ''], ['', '', '-', '-'], ['', '', '7', ""7'""], ['', '', 'ft', '']]",1.4,1'-7' ft - 7 ft,1-7 feet,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Keweenaw_Medora_FISHc_050.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Keweenaw_Medora_FISHc_051.jpg
58753192,"[['', '', ""4'""], ['', '', '-'], [""4'-10'"", ""4'-10'"", ""10'""]]",1.333333333,4' - 4'-10',4-10 feet,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Keweenaw_Medora_FISHc_052.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Keweenaw_Medora_FISHc_053.jpg
