subject_id,new_key,lakename,county,url_front,url_back,,Comments
59967226,48-643,CAMPEIGHT,LUCE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Luce_Camp8_FISHc_060.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Luce_Camp8_FISHc_061.jpg,,
59967227,48-643,CAMPEIGHT,LUCE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Luce_Camp8_FISHc_064.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Luce_Camp8_FISHc_065.jpg,,
59967228,48-643,CAMPEIGHT,LUCE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Luce_Camp8_FISHc_056.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Luce_Camp8_FISHc_057.jpg,,
59967229,48-643,CAMPEIGHT,LUCE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Luce_Camp8_FISHc_068.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Luce_Camp8_FISHc_069.jpg,,
59967230,48-643,CAMPEIGHT,LUCE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Luce_Camp8_FISHc_066.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Luce_Camp8_FISHc_067.jpg,,
59967232,48-643,CAMPEIGHT,LUCE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Luce_Camp8_FISHc_070.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Luce_Camp8_FISHc_071.jpg,,
59967233,48-643,CAMPEIGHT,LUCE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Luce_Camp8_FISHc_072.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Luce_Camp8_FISHc_073.jpg,,
59967234,48-643,CAMPEIGHT,LUCE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Luce_Camp8_FISHc_074.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Luce_Camp8_FISHc_075.jpg,,
59967235,48-643,CAMPEIGHT,LUCE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Luce_Camp8_FISHc_078.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Luce_Camp8_FISHc_079.jpg,,
59967236,48-643,CAMPEIGHT,LUCE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Luce_Camp8_FISHc_076.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Luce_Camp8_FISHc_077.jpg,,
59967237,48-643,CAMPEIGHT,LUCE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Luce_Camp8_FISHc_080.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Luce_Camp8_FISHc_081.jpg,,
59967238,48-643,CAMPEIGHT,LUCE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Luce_Camp8_FISHc_082.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Luce_Camp8_FISHc_083.jpg,,
59967239,48-643,CAMPEIGHT,LUCE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Luce_Camp8_FISHc_084.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/Luce_Camp8_FISHc_085.jpg,,
58752869,41-29,CAMPBELL,KENT,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Kent_Campbell_FISHc_006.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Kent_Campbell_FISHc_007.jpg,,
58752871,41-134,CASCADEIMPOUNDMENT,KENT,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Kent_Campbell_FISHc_012.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Kent_Campbell_FISHc_013.jpg,,"Labeled Cascade Impoundment on card, cascade hydro plant in Humphries"
58752873,41-134,CASCADEIMPOUNDMENT,KENT,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Kent_Campbell_FISHc_014.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Kent_Campbell_FISHc_015.jpg,,"Labeled Cascade Impoundment on card, can't find new_key for this"
