"subject_id","new_key","lakename","county","begin_date_day","begin_date_month","begin_date_year","end_date_day","end_date_month","end_date_year","url_front","url_back"
59105921,"75-522","COOKSON","SCHOOLCRAFT","31","July","1957","1","August","1957","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_066.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_065.jpeg"
59105922,"75-522","COOKSON","SCHOOLCRAFT","1","August","1957","2","August","1957","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_064.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_063.jpeg"
59105923,"75-522","COOKSON","SCHOOLCRAFT","31","July","1957","1","August","1957","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_068.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_067.jpeg"
59105924,"75-522","COOKSON","SCHOOLCRAFT","31","July","1957","1","August","1957","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_070.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_069.jpeg"
59105925,"75-522","COOKSON","SCHOOLCRAFT","1","August","1957","2","August","1957","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_060.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_059.jpeg"
59105926,"75-522","COOKSON","SCHOOLCRAFT","1","August","1957","2","August","1957","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_056.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_055.jpeg"
59105927,"75-522","COOKSON","SCHOOLCRAFT","1","August","1957","2","August","1957","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_058.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_057.jpeg"
59105928,"75-522","COOKSON","SCHOOLCRAFT","1","August","1957","2","August","1957","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_062.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_061.jpeg"
59105929,"75-522","COOKSON","SCHOOLCRAFT","1","August","1957","2","August","1957","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_054.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_053.jpeg"
59105930,"75-522","COOKSON","SCHOOLCRAFT","1","August","1957","2","August","1957","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_052.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_051.jpeg"
59105931,"75-522","COOKSON","SCHOOLCRAFT","30","July","1957","31","July","1957","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_050.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Schoolcraft_Cookson_FISHc_049.jpeg"
